date_started,date_concluded,pollster,client,area,sample_size,labour,conservative,reform_uk,liberal_democrat,green,alliance,brexit_party,change_uk,liberal,plaid_cymru,scottish_national_party,social_democratic_party,united_kingdom_independence_party,reclaim_party,others,lead,lead_value
2024-06-01,2024-06-03,More in Common,,GB,2055,46.0,27.0,10.0,8.0,5.0,,,,,1.0,3.0,,,,1.0,lab+19.0,19.0
2024-05-30,2024-06-03,Verian,,GB,1405,41.0,23.0,9.0,12.0,8.0,,,,,1.0,3.0,,0.0,,2.0,lab+18.0,18.0
2024-05-31,2024-06-03,Deltapoll,,GB,1077,48.0,25.0,9.0,10.0,4.0,,,,,1.0,2.0,,,,2.0,lab+23.0,23.0
2024-05-31,2024-06-02,JL Partners,The Rest is Politics,GB,2013,43.0,26.0,12.0,11.0,3.0,,,,,0.0,3.0,,,,0.0,lab+17.0,17.0
2024-05-31,2024-06-02,Redfield & Wilton Strategies,,GB,10000,46.0,20.0,14.0,10.0,5.0,,,,,0.0,2.0,,,,1.0,lab+26.0,26.0
2024-05-22,2024-06-02,Survation (MRP),Best for Britain,GB,30044,43.0,24.0,11.0,10.0,4.0,,,,,1.0,3.0,,,,3.0,lab+19.0,19.0
2024-05-31,2024-06-02,Savanta,The Telegraph,GB,2209,42.0,28.0,9.0,9.0,4.0,,,,,0.0,3.0,,,,1.0,lab+14.0,14.0
2024-05-24,2024-06-01,YouGov (MRP),Sky News,GB,58875,43.0,25.0,10.0,11.0,7.0,,,,,,3.0,,,,2.0,lab+18.0,18.0
2024-05-29,2024-05-31,Opinium,The Observer,GB,2184,45.0,25.0,11.0,8.0,6.0,,,,,,3.0,,,,2.0,lab+20.0,20.0
2024-05-30,2024-05-31,We Think,,GB,1328,46.0,21.0,13.0,8.0,6.0,,,,,0.0,3.0,,,,1.0,lab+25.0,25.0
2024-05-30,2024-05-31,FocalData,,GB,2626,43.0,26.0,12.0,9.0,6.0,,,,,0.0,2.0,,,,1.0,lab+17.0,17.0
2024-05-29,2024-05-30,YouGov,The Times,GB,2040,46.0,21.0,15.0,8.0,6.0,,,,,1.0,2.0,,,,2.0,lab+25.0,25.0
2024-05-29,2024-05-30,Whitestone Insight,Daily Express/Daily Mirror,GB,2024,44.0,24.0,11.0,9.0,6.0,,,,,1.0,3.0,,,,1.0,lab+20.0,20.0
2024-05-29,2024-05-30,Techne UK,,GB,1630,45.0,21.0,12.0,11.0,6.0,,,,,,2.0,,,,3.0,lab+24.0,24.0
2024-05-28,2024-05-29,BMG Research,The i,GB,1500,43.0,27.0,11.0,9.0,6.0,,,,,0.0,2.0,,,,2.0,lab+16.0,16.0
2024-04-09,2024-05-29,More in Common (MRP),,GB,15089,43.0,29.0,8.0,11.0,5.0,,,,,0.0,3.0,,,,1.0,lab+14.0,14.0
2024-05-27,2024-05-29,More in Common,,GB,2049,45.0,26.0,11.0,9.0,5.0,,,,,0.0,2.0,,,,1.0,lab+19.0,19.0
2024-05-26,2024-05-28,YouGov,Sky News,GB,2128,47.0,20.0,12.0,9.0,7.0,,,,,1.0,3.0,,,,2.0,lab+27.0,27.0
2024-05-24,2024-05-28,Lord Ashcroft Polls,,GB,4828,47.0,24.0,11.0,6.0,8.0,,,,,0.0,3.0,,,,2.0,lab+23.0,23.0
2024-05-20,2024-05-27,Find Out Now,Electoral Calculus (MRP),GB,10390,46.0,19.0,12.0,10.0,8.0,,,,,1.0,3.0,,,,2.0,lab+27.0,27.0
2024-05-25,2024-05-27,Redfield & Wilton Strategies,,GB,12000,46.0,23.0,13.0,9.0,5.0,,,,,1.0,3.0,,,,1.0,lab+23.0,23.0
2024-05-24,2024-05-27,Survation,,UK,2040,47.0,24.0,8.0,11.0,3.0,,,,,1.0,3.0,,0.0,,3.0,lab+23.0,23.0
2024-05-24,2024-05-26,Savanta,The Telegraph,GB,2235,44.0,27.0,8.0,10.0,4.0,,,,,1.0,3.0,,,,4.0,lab+17.0,17.0
2024-05-24,2024-05-25,JL Partners,The Rest is Politics,GB,2013,40.0,28.0,12.0,10.0,5.0,,,,,1.0,3.0,,,,1.0,lab+12.0,12.0
2024-05-23,2024-05-25,Deltapoll,Mail on Sunday,GB,1517,45.0,23.0,10.0,9.0,6.0,,,,,1.0,3.0,,,,2.0,lab+22.0,22.0
2024-05-23,2024-05-24,Opinium,The Observer,GB,2050,41.0,27.0,10.0,10.0,7.0,,,,,,2.0,,,,1.0,lab+14.0,14.0
2024-05-23,2024-05-24,YouGov,The Times,GB,2072,44.0,22.0,14.0,9.0,6.0,,,,,0.0,3.0,,,,1.0,lab+22.0,22.0
2024-05-23,2024-05-24,We Think,,GB,1242,47.0,22.0,12.0,8.0,6.0,,,,,,3.0,,,,2.0,lab+25.0,25.0
2024-05-22,2024-05-23,Techne UK,,GB,1643,45.0,19.0,14.0,12.0,5.0,,,,,,2.0,,,,3.0,lab+26.0,26.0
2024-05-22,2024-05-23,More in Common,,GB,2008,44.0,27.0,10.0,9.0,5.0,,,,,0.0,3.0,,,,1.0,lab+17.0,17.0
2024-05-03,2024-05-22,YouGov,,GB,10108,46.0,20.0,13.0,9.0,7.0,,,,,1.0,3.0,,,,2.0,lab+26.0,26.0
2024-05-21,2024-05-22,Survation,,UK,1016,48.0,27.0,8.0,8.0,2.0,,,,,1.0,3.0,,0.0,,3.0,lab+21.0,21.0
2024-05-21,2024-05-22,YouGov,The Times,GB,2093,46.0,21.0,12.0,9.0,7.0,,,,,0.0,3.0,,,,1.0,lab+25.0,25.0
2024-05-17,2024-05-20,Deltapoll,,GB,1968,45.0,23.0,12.0,10.0,5.0,,,,,1.0,3.0,,1.0,,1.0,lab+22.0,22.0
2024-05-19,2024-05-19,Redfield & Wilton Strategies,,GB,3700,45.0,23.0,12.0,10.0,5.0,,,,,,2.0,,,,1.0,lab+22.0,22.0
2024-05-17,2024-05-19,Savanta,The Telegraph,GB,2295,43.0,26.0,9.0,10.0,5.0,,,,,,3.0,,,,4.0,lab+17.0,17.0
2024-05-17,2024-05-19,More in Common,,GB,2308,43.0,27.0,11.0,9.0,6.0,,,,,1.0,2.0,,,,1.0,lab+16.0,16.0
2024-05-16,2024-05-17,We Think,,GB,1064,46.0,23.0,11.0,8.0,8.0,,,,,,2.0,,,,2.0,lab+23.0,23.0
2024-05-15,2024-05-17,Opinium,The Observer,GB,1458,43.0,25.0,10.0,9.0,7.0,,,,,0.0,3.0,,,,2.0,lab+18.0,18.0
2024-05-16,2024-05-16,PeoplePolling,GB News,GB,1476,46.0,20.0,14.0,8.0,8.0,,,,,0.0,3.0,,,,1.0,lab+26.0,26.0
2024-05-15,2024-05-16,Whitestone Insight,Daily Express/Daily Mirror,GB,2024,44.0,24.0,13.0,8.0,6.0,,,,,0.0,3.0,,,,2.0,lab+20.0,20.0
2024-05-15,2024-05-16,YouGov,The Times,GB,1031,47.0,20.0,11.0,9.0,8.0,,,,,1.0,3.0,,,,1.0,lab+27.0,27.0
2024-05-15,2024-05-16,Techne UK,,GB,1641,44.0,21.0,12.0,12.0,6.0,,,,,,2.0,,,,3.0,lab+23.0,23.0
2024-05-08,2024-05-14,Ipsos,,GB,1008,41.0,20.0,9.0,11.0,11.0,,,,,1.0,3.0,,,,4.0,lab+21.0,21.0
2024-05-09,2024-05-13,Lord Ashcroft Polls,,GB,5485,45.0,22.0,11.0,8.0,8.0,,,,,0.0,3.0,,,,3.0,lab+23.0,23.0
2024-05-10,2024-05-13,Deltapoll,,GB,1031,45.0,27.0,10.0,8.0,6.0,,,,,1.0,2.0,,1.0,,0.0,lab+18.0,18.0
2024-05-10,2024-05-12,Savanta,The Telegraph,GB,2090,43.0,25.0,10.0,12.0,4.0,,,,,,3.0,,,,4.0,lab+18.0,18.0
2024-05-12,2024-05-12,Redfield & Wilton Strategies,,GB,3000,42.0,21.0,15.0,12.0,6.0,,,,,,3.0,,,,1.0,lab+21.0,21.0
2024-05-09,2024-05-10,We Think,,GB,1183,47.0,24.0,10.0,9.0,6.0,,,,,,2.0,,,,3.0,lab+23.0,23.0
2024-05-09,2024-05-10,Survation,,UK,1054,44.0,24.0,8.0,10.0,7.0,,,,,,2.0,,,,5.0,lab+20.0,20.0
2024-05-08,2024-05-09,Techne UK,,GB,1638,45.0,21.0,12.0,11.0,6.0,,,,,,2.0,,,,3.0,lab+24.0,24.0
2024-05-07,2024-05-08,YouGov,The Times,GB,2072,48.0,18.0,13.0,9.0,7.0,,,,,1.0,3.0,,,,2.0,lab+30.0,30.0
2024-05-03,2024-05-07,Deltapoll,,GB,1993,43.0,26.0,10.0,10.0,5.0,,,,,1.0,3.0,,1.0,,0.0,lab+17.0,17.0
2024-05-05,2024-05-05,Redfield & Wilton Strategies,,GB,2000,44.0,21.0,15.0,9.0,5.0,,,,,,3.0,,,,1.0,lab+23.0,23.0
2024-05-03,2024-05-05,Savanta,The Telegraph,GB,2267,43.0,27.0,9.0,11.0,4.0,,,,,,3.0,,,,4.0,lab+16.0,16.0
2024-05-02,2024-05-05,JL Partners,The Rest is Politics,GB,2011,41.0,26.0,13.0,11.0,5.0,,,,,,3.0,,,,2.0,lab+15.0,15.0
2024-05-01,2024-05-03,Opinium,The Observer,GB,1402,40.0,24.0,12.0,11.0,7.0,,,,,1.0,3.0,,,,2.0,lab+16.0,16.0
2024-05-02,2024-05-03,We Think,,GB,1177,44.0,24.0,13.0,8.0,6.0,,,,,,2.0,,,,2.0,lab+20.0,20.0
2024-05-02,2024-05-03,More in Common,,GB,2135,43.0,26.0,11.0,10.0,5.0,,,,,,3.0,,,,1.0,lab+17.0,17.0
2024-05-01,2024-05-02,Techne UK,,GB,1633,44.0,22.0,13.0,10.0,6.0,,,,,,2.0,,,,3.0,lab+22.0,22.0
2024-04-30,2024-05-01,YouGov,The Times,GB,2010,44.0,18.0,15.0,10.0,8.0,,,,,1.0,2.0,,,,2.0,lab+26.0,26.0
2024-04-26,2024-04-29,Deltapoll,,GB,1577,44.0,24.0,12.0,8.0,5.0,,,,,2.0,3.0,,1.0,,0.0,lab+20.0,20.0
2024-04-19,2024-04-29,Labour Together,,GB,9403,44.0,22.0,13.0,10.0,6.0,,,,,1.0,3.0,,,,2.0,lab+22.0,22.0
2024-04-28,2024-04-28,Redfield & Wilton Strategies,,GB,2000,45.0,22.0,14.0,9.0,6.0,,,,,,3.0,,,,2.0,lab+23.0,23.0
2024-04-26,2024-04-28,More in Common,,GB,2053,43.0,24.0,11.0,11.0,6.0,,,,,,3.0,,,,2.0,lab+19.0,19.0
2024-04-26,2024-04-28,Savanta,The Telegraph,GB,2144,44.0,26.0,10.0,10.0,3.0,,,,,,3.0,,,,4.0,lab+18.0,18.0
2024-04-25,2024-04-26,We Think,,GB,1265,44.0,22.0,13.0,9.0,6.0,,,,,,3.0,,,,3.0,lab+22.0,22.0
2024-04-24,2024-04-25,Techne UK,,GB,1642,44.0,23.0,11.0,9.0,6.0,,,,,,3.0,,,,3.0,lab+21.0,21.0
2024-04-23,2024-04-25,Survation,,UK,2036,44.0,26.0,10.0,9.0,4.0,,,,,,3.0,,,,5.0,lab+18.0,18.0
2024-04-23,2024-04-24,YouGov,The Times,GB,2100,45.0,20.0,13.0,9.0,7.0,,,,,1.0,3.0,,,,2.0,lab+25.0,25.0
2024-04-22,2024-04-23,BMG Research,The i,GB,1500,41.0,25.0,14.0,9.0,6.0,,,,,,3.0,,,,1.0,lab+16.0,16.0
2024-04-19,2024-04-22,Deltapoll,,GB,1525,43.0,27.0,12.0,9.0,5.0,,,,,1.0,3.0,,0.0,,0.0,lab+16.0,16.0
2024-04-19,2024-04-21,Savanta,The Telegraph,GB,2332,43.0,27.0,10.0,9.0,4.0,,,,,,2.0,,,,4.0,lab+16.0,16.0
2024-04-21,2024-04-21,Redfield & Wilton Strategies,,GB,2000,43.0,20.0,14.0,12.0,6.0,,,,,,3.0,,,,1.0,lab+23.0,23.0
2024-04-18,2024-04-19,We Think,,GB,1266,43.0,26.0,11.0,9.0,7.0,,,,,,2.0,,,,2.0,lab+17.0,17.0
2024-04-17,2024-04-19,Opinium,The Observer,GB,1431,41.0,25.0,13.0,10.0,7.0,,,,,2.0,2.0,,,,1.0,lab+16.0,16.0
2024-04-17,2024-04-18,Survation,,UK,1010,44.0,26.0,8.0,11.0,4.0,,,,,,3.0,,,,4.0,lab+18.0,18.0
2024-04-17,2024-04-18,Techne UK,,GB,1640,45.0,22.0,13.0,9.0,5.0,,,,,,3.0,,,,3.0,lab+23.0,23.0
2024-04-16,2024-04-17,YouGov,The Times,GB,2048,44.0,21.0,14.0,8.0,8.0,,,,,1.0,3.0,,,,2.0,lab+23.0,23.0
2024-04-12,2024-04-15,Deltapoll,,GB,2072,45.0,25.0,11.0,9.0,5.0,,,,,,3.0,,,,4.0,lab+20.0,20.0
2024-04-11,2024-04-15,Lord Ashcroft Polls,,GB,5410,44.0,23.0,11.0,6.0,8.0,,,,,,,,,,,lab+21.0,21.0
2024-04-03,2024-04-15,Ipsos,,GB,1072,44.0,19.0,13.0,9.0,9.0,,,,,,3.0,,,,6.0,lab+25.0,25.0
2024-04-12,2024-04-14,Savanta,The Telegraph,GB,2221,43.0,25.0,9.0,10.0,4.0,,,,,,3.0,,,,4.0,lab+18.0,18.0
2024-04-14,2024-04-14,Redfield & Wilton Strategies,,GB,2000,44.0,22.0,15.0,9.0,6.0,,,,,,3.0,,,,1.0,lab+22.0,22.0
2024-04-11,2024-04-12,We Think,,GB,1271,44.0,24.0,11.0,9.0,6.0,,,,,,2.0,,,,1.0,lab+20.0,20.0
2024-04-10,2024-04-11,Techne UK,,GB,1630,44.0,23.0,12.0,10.0,5.0,,,,,,3.0,,,,3.0,lab+21.0,21.0
2024-04-10,2024-04-11,YouGov,The Times,GB,2044,45.0,19.0,15.0,8.0,7.0,,,,,0.0,3.0,,,,2.0,lab+26.0,26.0
2024-04-07,2024-04-07,Redfield & Wilton Strategies,,GB,2000,44.0,21.0,15.0,10.0,6.0,,,,,,2.0,,,,1.0,lab+23.0,23.0
2024-04-05,2024-04-07,Savanta,The Telegraph,GB,2210,42.0,27.0,10.0,10.0,4.0,,,,,,3.0,,,,4.0,lab+15.0,15.0
2024-04-04,2024-04-07,JL Partners,The Rest is Politics,GB,2011,42.0,24.0,13.0,10.0,5.0,,,,,,4.0,,,,2.0,lab+18.0,18.0
2024-04-04,2024-04-05,We Think,,GB,1280,45.0,24.0,13.0,10.0,5.0,,,,,,2.0,,,,2.0,lab+21.0,21.0
2024-04-03,2024-04-05,Opinium,The Observer,GB,1318,41.0,25.0,11.0,10.0,8.0,,,,,1.0,3.0,,,,1.0,lab+16.0,16.0
2024-04-04,2024-04-04,PeoplePolling,GB News,GB,1809,45.0,19.0,14.0,9.0,8.0,,,,,,4.0,,,,1.0,lab+26.0,26.0
2024-04-03,2024-04-04,Techne UK,,GB,1638,45.0,22.0,13.0,9.0,5.0,,,,,,3.0,,,,3.0,lab+23.0,23.0
2024-04-02,2024-04-03,BMG Research,The i,GB,1530,43.0,25.0,14.0,8.0,6.0,,,,,,3.0,,,,1.0,lab+18.0,18.0
2024-04-02,2024-04-03,YouGov,The Times,GB,2004,43.0,20.0,16.0,8.0,8.0,,,,,,3.0,,,,1.0,lab+23.0,23.0
2024-03-31,2024-03-31,Redfield & Wilton Strategies,,GB,2000,46.0,22.0,14.0,10.0,5.0,,,,,,3.0,,,,2.0,lab+24.0,24.0
2024-03-27,2024-03-28,We Think,,GB,1295,44.0,25.0,10.0,10.0,5.0,,,,,,3.0,,,,3.0,lab+19.0,19.0
2024-03-27,2024-03-28,Techne UK,,GB,1641,44.0,23.0,12.0,10.0,5.0,,,,,,3.0,,,,3.0,lab+21.0,21.0
2024-03-25,2024-03-27,Savanta,The Sun,UK,3302,45.0,24.0,12.0,10.0,3.0,,,,,,3.0,,,,4.0,lab+21.0,21.0
2024-03-07,2024-03-27,YouGov (MRP),The Times,GB,18761,41.0,24.0,12.0,12.0,7.0,,,,,,,,,,1.0,lab+17.0,17.0
2024-03-26,2024-03-27,YouGov,The Times,GB,2061,40.0,21.0,16.0,10.0,8.0,,,,,2.0,3.0,,,,1.0,lab+19.0,19.0
2024-03-22,2024-03-25,Deltapoll,,GB,2072,44.0,26.0,11.0,9.0,6.0,,,,,,3.0,,,,2.0,lab+18.0,18.0
2024-03-24,2024-03-24,Redfield & Wilton Strategies,,GB,2000,42.0,22.0,14.0,12.0,6.0,,,,,,2.0,,,,2.0,lab+20.0,20.0
2024-03-22,2024-03-24,Savanta,The Telegraph,UK,2216,44.0,24.0,11.0,10.0,4.0,,,,,,3.0,,,,4.0,lab+20.0,20.0
2024-03-23,2024-03-24,More in Common,,GB,1966,42.0,27.0,11.0,10.0,5.0,,,,,1.0,3.0,,,,1.0,lab+15.0,15.0
2024-03-20,2024-03-22,Opinium,The Observer,UK,1874,41.0,25.0,11.0,10.0,8.0,,,,,,3.0,,,,2.0,lab+16.0,16.0
2024-03-21,2024-03-22,We Think,,GB,1270,47.0,24.0,11.0,10.0,6.0,,,,,,2.0,,,,2.0,lab+23.0,23.0
2024-03-08,2024-03-22,Survation (MRP),Best for Britain,UK,15029,45.0,26.0,9.0,10.0,4.0,,,,,,3.0,,,,3.0,lab+19.0,19.0
2024-03-20,2024-03-21,Techne UK,,GB,1632,43.0,22.0,13.0,10.0,6.0,,,,,,3.0,,,,3.0,lab+21.0,21.0
2024-03-19,2024-03-20,YouGov,The Times,GB,2047,44.0,19.0,15.0,9.0,8.0,,,,,1.0,3.0,,,,1.0,lab+25.0,25.0
2024-03-19,2024-03-20,More in Common,,GB,2027,43.0,25.0,11.0,11.0,5.0,,,,,1.0,3.0,,,,1.0,lab+18.0,18.0
2024-03-15,2024-03-18,Deltapoll,,GB,2072,46.0,23.0,12.0,9.0,5.0,,,,,,2.0,,,,3.0,lab+23.0,23.0
2024-03-17,2024-03-17,Redfield & Wilton Strategies,,GB,2000,47.0,21.0,14.0,8.0,6.0,,,,,,3.0,,,,1.0,lab+26.0,26.0
2024-03-15,2024-03-17,Savanta,The Telegraph,UK,2133,44.0,26.0,11.0,9.0,4.0,,,,,,3.0,,,,4.0,lab+18.0,18.0
2024-03-14,2024-03-15,Labour Together,,GB,1270,42.0,24.0,,10.0,7.0,,,,,,3.0,,,,13.0,lab+18.0,18.0
2024-03-14,2024-03-15,We Think,,GB,1270,43.0,25.0,12.0,10.0,6.0,,,,,,2.0,,,,2.0,lab+18.0,18.0
2024-03-13,2024-03-14,Techne UK,,GB,1624,44.0,22.0,12.0,11.0,5.0,,,,,,3.0,,,,3.0,lab+22.0,22.0
2024-03-11,2024-03-14,Survation,,UK,1043,45.0,26.0,8.0,11.0,3.0,,,,,,2.0,,,,5.0,lab+19.0,19.0
2024-03-12,2024-03-13,YouGov,The Times,GB,2047,44.0,20.0,14.0,9.0,7.0,,,,,1.0,3.0,,,,2.0,lab+24.0,24.0
2024-03-07,2024-03-11,Lord Ashcroft Polls,,GB,5299,45.0,23.0,11.0,6.0,8.0,,,,,,3.0,,,,5.0,lab+22.0,22.0
2024-03-08,2024-03-11,Deltapoll,,GB,1502,44.0,27.0,11.0,10.0,4.0,,,,,,2.0,,,,2.0,lab+17.0,17.0
2024-03-08,2024-03-11,More in Common,,GB,2027,42.0,27.0,10.0,10.0,6.0,,,,,1.0,3.0,,,,1.0,lab+15.0,15.0
2024-03-08,2024-03-10,Savanta,,GB,2032,43.0,25.0,9.0,11.0,4.0,,,,,,3.0,,,,4.0,lab+18.0,18.0
2024-03-10,2024-03-10,Redfield & Wilton Strategies,,GB,2000,42.0,24.0,14.0,12.0,5.0,,,,,,2.0,,,,1.0,lab+18.0,18.0
2024-03-06,2024-03-08,Opinium,The Observer,UK,2054,41.0,25.0,11.0,10.0,7.0,,,,,,3.0,,,,4.0,lab+16.0,16.0
2024-03-07,2024-03-08,We Think,,GB,1216,43.0,24.0,13.0,9.0,6.0,,,,,,3.0,,,,2.0,lab+19.0,19.0
2024-03-07,2024-03-07,PeoplePolling,GB News,GB,1734,46.0,18.0,13.0,10.0,7.0,,,,,0.0,4.0,,,,2.0,lab+28.0,28.0
2024-03-06,2024-03-07,BMG Research,The i,GB,1541,41.0,25.0,13.0,10.0,6.0,,,,,,3.0,,,,1.0,lab+16.0,16.0
2024-03-06,2024-03-07,YouGov,The Times,GB,2053,47.0,20.0,13.0,9.0,7.0,,,,,1.0,3.0,,,,1.0,lab+27.0,27.0
2024-03-06,2024-03-07,Techne UK,,UK,1640,44.0,23.0,11.0,11.0,6.0,,,,,,3.0,,,,2.0,lab+21.0,21.0
2024-03-01,2024-03-04,Deltapoll,,GB,1500,41.0,27.0,12.0,9.0,6.0,,,,,,3.0,,,,3.0,lab+14.0,14.0
2024-03-03,2024-03-03,Redfield & Wilton Strategies,,GB,2000,43.0,23.0,13.0,10.0,6.0,,,,,,3.0,,,,2.0,lab+20.0,20.0
2024-03-01,2024-03-03,Savanta,,GB,2245,44.0,27.0,8.0,10.0,4.0,,,,,,3.0,,,,4.0,lab+17.0,17.0
2024-02-29,2024-03-01,We Think,,GB,1240,47.0,23.0,10.0,9.0,5.0,,,,,,3.0,,,,3.0,lab+24.0,24.0
2024-02-28,2024-03-01,Opinium,,UK,2050,40.0,25.0,12.0,10.0,7.0,,,,,,3.0,,,,3.0,lab+15.0,15.0
2024-02-28,2024-02-29,Techne UK,,UK,1632,44.0,23.0,10.0,10.0,7.0,,,,,,3.0,,,,3.0,lab+21.0,21.0
2024-02-28,2024-02-29,YouGov,The Times,GB,2100,46.0,20.0,14.0,7.0,7.0,,,,,1.0,3.0,,,,1.0,lab+26.0,26.0
2024-02-21,2024-02-28,Ipsos,Evening Standard,GB,1004,47.0,20.0,8.0,9.0,8.0,,,,,,4.0,,,,2.0,lab+27.0,27.0
2024-02-23,2024-02-27,More in Common,,GB,2075,43.0,28.0,9.0,10.0,5.0,,,,,,3.0,,,,1.0,lab+15.0,15.0
2024-02-23,2024-02-26,Deltapoll,,GB,1490,44.0,23.0,10.0,11.0,5.0,,,,,,3.0,,,,3.0,lab+21.0,21.0
2024-02-25,2024-02-25,Redfield & Wilton Strategies,,GB,2000,43.0,23.0,12.0,10.0,8.0,,,,,,3.0,,,,2.0,lab+20.0,20.0
2024-02-23,2024-02-25,Savanta,,GB,2097,44.0,26.0,10.0,10.0,4.0,,,,,,3.0,,,,4.0,lab+18.0,18.0
2024-02-21,2024-02-23,Opinium,The Observer,UK,2079,42.0,27.0,10.0,10.0,7.0,,,,,,3.0,,,,1.0,lab+15.0,15.0
2024-02-22,2024-02-23,We Think,,GB,1243,44.0,25.0,10.0,9.0,6.0,,,,,,3.0,,,,2.0,lab+19.0,19.0
2024-02-21,2024-02-22,Techne UK,,UK,1637,44.0,24.0,10.0,10.0,6.0,,,,,,3.0,,,,3.0,lab+20.0,20.0
2024-02-20,2024-02-21,YouGov,The Times,GB,2035,46.0,20.0,13.0,9.0,7.0,,,,,1.0,4.0,,,,1.0,lab+26.0,26.0
2024-02-16,2024-02-19,Deltapoll,,GB,1519,48.0,27.0,7.0,8.0,6.0,,,,,,3.0,,,,2.0,lab+21.0,21.0
2024-02-16,2024-02-18,Savanta,,UK,2118,42.0,28.0,8.0,10.0,4.0,,,,,,3.0,,,,5.0,lab+14.0,14.0
2024-02-18,2024-02-18,Redfield & Wilton Strategies,,GB,2000,46.0,23.0,11.0,9.0,6.0,,,,,,3.0,,,,1.0,lab+23.0,23.0
2024-02-14,2024-02-16,Opinium,The Observer,UK,2002,43.0,27.0,9.0,10.0,7.0,,,,,,3.0,,,,2.0,lab+16.0,16.0
2024-02-15,2024-02-16,We Think,,GB,1246,46.0,26.0,8.0,9.0,6.0,,,,,,2.0,,,,2.0,lab+20.0,20.0
2024-02-14,2024-02-15,YouGov,The Times,GB,2030,44.0,24.0,11.0,9.0,8.0,,,,,0.0,3.0,,,,1.0,lab+20.0,20.0
2024-02-13,2024-02-15,Survation,,UK,1020,44.0,29.0,7.0,9.0,3.0,,,,,,3.0,,,,4.0,lab+15.0,15.0
2024-02-14,2024-02-15,Techne UK,,UK,1628,42.0,23.0,11.0,11.0,7.0,,,,,,3.0,,,,3.0,lab+19.0,19.0
2024-02-09,2024-02-12,YouGov,WPI Strategy,GB,4014,45.0,22.0,12.0,9.0,7.0,,,,,,3.0,,,,2.0,lab+23.0,23.0
2024-02-08,2024-02-12,Deltapoll,,GB,1977,45.0,27.0,10.0,8.0,4.0,,,,,,3.0,,,,2.0,lab+18.0,18.0
2024-02-08,2024-02-12,Lord Ashcroft Polls,,GB,5046,43.0,27.0,10.0,7.0,8.0,,,,,,3.0,,,,3.0,lab+16.0,16.0
2024-01-24,2024-02-12,Find Out Now,Electoral Calculus (MRP),GB,18151,42.0,22.0,10.0,11.0,7.0,,,,,,4.0,,,,4.0,lab+20.0,20.0
2024-02-07,2024-02-11,More in Common,,GB,2050,40.0,29.0,10.0,11.0,6.0,,,,,,3.0,,,,1.0,lab+11.0,11.0
