dates,pollster,client,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,green,reform_uk,others,lead,year,brexit_party
18–22 May,Kantar Public,,GB,1143,29%,42%,11%,4%,5%,5%,4% UKIP on 1%Other on 3%,13,2023,
21 May,Redfield & Wilton,,GB,2000,30%,42%,13%,4%,4%,5%,2%,12,2023,
19–21 May,Savanta,,GB,2043,30%,46%,9%,3%,3%,5%,4%,16,2023,
18 May,Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],Local elections in Northern Ireland[1],2023,
17–18 May,YouGov,The Times,GB,2006,25%,43%,12%,3%,8%,6%,3% Plaid Cymru on 1%Other on 2%,18,2023,
17–18 May,Omnisis,,GB,1389,25%,47%,10%,3%,5%,6%,TBC,22,2023,
17–18 May,Techne,,GB,1633,29%,45%,10%,3%,4%,5%,3%,16,2023,
10–16 May,Ipsos,Evening Standard,GB,1006,28%,44%,13%,4%,6%,2%,4%,16,2023,
12–15 May,More in Common,,GB,2017,31%,42%,13%,3%,5%,5%,2%,11,2023,
12–15 May,Deltapoll,,GB,1511,29%,45%,12%,3%,4%,5%,3% UKIP on 2%Other on 1%,16,2023,
14 May,Redfield & Wilton,,GB,2000,28%,42%,11%,4%,5%,8%,2%,14,2023,
12–14 May,Savanta,,GB,2214,29%,46%,9%,3%,3%,5%,4%,17,2023,
11–12 May,Omnisis,,GB,1355,24%,51%,10%,3%,4%,6%,TBC,27,2023,
10–12 May,Opinium,The Observer,GB,2050,29%,43%,11%,3%,5%,6%,3%,14,2023,
10–11 May,Techne,,GB,1625,28%,45%,11%,3%,5%,5%,3%,17,2023,
9–10 May,YouGov,The Times,GB,2001,25%,43%,11%,3%,8%,7%,2% Plaid Cymru on 1%UKIP on 1%Other on 1%,18,2023,
5–9 May,Deltapoll,,GB,1550,28%,47%,9%,3%,5%,5%,3% Plaid Cymru on 1%UKIP on 1%Other on 1%,19,2023,
7 May,Redfield & Wilton,,GB,2000,29%,41%,16%,3%,4%,5%,1%,12,2023,
5–7 May,Savanta,,GB,2168,30%,46%,9%,4%,3%,5%,4%,16,2023,
4–5 May,Omnisis,,GB,1355,27%,48%,7%,4%,6%,6%,TBC,21,2023,
4 May,Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],2023,
3–4 May,BMG,The i,GB,1534,29%,43%,11%,3%,6%,5%,3%,14,2023,
3–4 May,YouGov,The Times,GB,2012,26%,43%,10%,4%,7%,6%,3%,17,2023,
2–3 May,Techne,,GB,1632,29%,44%,11%,3%,5%,6%,3%,15,2023,
28 Apr – 2 May,Deltapoll,,GB,1561,29%,44%,11%,4%,4%,4%,4% Plaid Cymru on 1%UKIP on 2%Other on 1%,15,2023,
30 Apr,Redfield & Wilton,,GB,2000,28%,45%,12%,2%,4%,7%,1%,17,2023,
28–30 Apr,Savanta,,GB,2241,31%,44%,9%,4%,3%,5%,4%,13,2023,
27–28 Apr,Omnisis,,GB,1352,28%,45%,10%,4%,6%,6%,TBC,17,2023,
26–28 Apr,Opinium,The Observer,GB,1425,26%,44%,10%,3%,7%,7%,2%,18,2023,
24–28 Apr,Survation,Good Morning Britain,UK,2014,28%,45%,12%,3%,4%,3%,6%,17,2023,
26–27 Apr,YouGov,The Times,GB,2111,27%,41%,11%,4%,7%,7%,3%,14,2023,
26–27 Apr,Techne,,GB,1627,30%,44%,9%,3%,5%,6%,3%,14,2023,
24–26 Apr,Deltapoll,,GB,1576,30%,43%,9%,4%,5%,5%,4% Plaid Cymru on 1%UKIP on 2%Other on 1%,13,2023,
23 Apr,Redfield & Wilton,,GB,2000,29%,44%,11%,3%,5%,6%,1%,15,2023,
21–23 Apr,Savanta,,GB,2156,31%,42%,9%,3%,3%,7%,5%,11,2023,
20–21 Apr,Omnisis,,GB,1318,27%,47%,7%,4%,6%,7%,TBC,20,2023,
20 Apr,Techne,,GB,1626,31%,44%,10%,3%,5%,5%,3%,13,2023,
18–19 Apr,YouGov,The Times,GB,2010,28%,43%,10%,2%,6%,7%,3%,15,2023,
13–17 Apr,Deltapoll,,GB,1567,29%,43%,10%,4%,5%,4%,4% Plaid Cymru on 2%UKIP on 1%Other on 1%,14,2023,
16 Apr,Redfield & Wilton,,GB,2000,32%,44%,10%,4%,4%,4%,1%,12,2023,
14–16 Apr,Savanta,,UK,2237,31%,45%,8%,3%,3%,5%,4%,14,2023,
12–14 Apr,Opinium,The Observer,GB,1370,28%,42%,10%,3%,6%,8%,3%,14,2023,
12–13 Apr,Techne,,GB,1630,30%,45%,10%,3%,4%,6%,3%,15,2023,
12–13 Apr,YouGov,The Times,GB,2010,27%,45%,10%,3%,5%,6%,3% Plaid Cymru on 1%Other on 2%,18,2023,
12–13 Apr,Omnisis,,GB,1340,25%,48%,9%,4%,5%,7%,2% Plaid Cymru on 1%Other on 1%,23,2023,
6–11 Apr,More in Common,,GB,2046,30%,44%,10%,3%,6%,5%,2%,14,2023,
9 Apr,Redfield & Wilton,,GB,2000,30%,44%,10%,3%,5%,6%,2%,14,2023,
5–6 Apr,Omnisis,,UK,1328,26%,46%,10%,3%,5%,7%,3%,20,2023,
5–6 Apr,Opinium,The Observer,GB,2081,30%,41%,10%,3%,5%,7%,3%,11,2023,
5–6 Apr,Techne,,GB,1629,30%,45%,9%,3%,5%,5%,2%,15,2023,
5–6 Apr,YouGov,The Times,GB,2042,27%,44%,9%,4%,7%,6%,3% Plaid Cymru on 1%Other on 2%,17,2023,
31 Mar – 3 Apr,Deltapoll,,GB,1587,27%,48%,9%,4%,4%,5%,4% Plaid Cymru on 1%UKIP on 2%Other on 1%,21,2023,
2 Apr,Redfield & Wilton,,GB,2000,28%,45%,12%,4%,4%,5%,2%,17,2023,
31 Mar – 2 Apr,Savanta,,UK,2149,29%,45%,10%,3%,3%,5%,5% Plaid Cymru on 1%Other on 4%,16,2023,
29 Mar – 2 Apr,Survation,,UK,1009,29%,46%,8%,4%,3%,5%,6%,17,2023,
29–31 Mar,Opinium,The Observer,GB,2050,29%,44%,9%,3%,5%,7%,3% Plaid Cymru on 1%Other on 2%,15,2023,
29–30 Mar,YouGov,The Times,GB,2002,26%,46%,9%,3%,7%,7%,2% Plaid Cymru on 1%Other on 1%,20,2023,
29–30 Mar,Techne,,GB,1633,30%,46%,9%,3%,4%,5%,3%,16,2023,
29 Mar,PeoplePolling,GB News,GB,1209,24%,42%,9%,5%,7%,8%,6% Plaid Cymru on 1%Other on 5%,18,2023,
28–29 Mar,Omnisis,,GB,1344,27%,50%,9%,3%,4%,6%,2% Plaid Cymru on 1%Other on 1%,23,2023,
27–29 Mar,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,Humza Yousaf becomes leader of the SNP and then First Minister of Scotland,2023,
22–29 Mar,Ipsos,Evening Standard,UK,1004,26%,49%,11%,5%,6%,2%,1%,23,2023,
24–27 Mar,Deltapoll,,GB,1569,30%,45%,10%,4%,4%,4%,2%,15,2023,
26 Mar,Redfield & Wilton,,GB,2000,27%,46%,10%,3%,4%,8%,2%,19,2023,
24–26 Mar,Savanta,,UK,2097,29%,45%,9%,4%,3%,4%,5% Plaid Cymru on 1%Other on 4%,16,2023,
23–24 Mar,Omnisis,,GB,1382,29%,44%,10%,3%,5%,6%,2%,15,2023,
23–24 Mar,Survation,,UK,831,31%,45%,8%,4%,3%,4%,5%,14,2023,
22–23 Mar,Techne,,UK,1624,31%,46%,8%,4%,4%,5%,2%,15,2023,
22 Mar,PeoplePolling,GB News,UK,1175,22%,43%,10%,4%,8%,9%,5% Plaid Cymru on 2%Other on 3%,21,2023,
21–22 Mar,YouGov,The Times,GB,2026,23%,49%,10%,3%,6%,6%,3% Plaid Cymru on 1%Other on 2%,26,2023,
17–20 Mar,Survation,,UK,812,31%,46%,8%,4%,2%,4%,5%,15,2023,
17–20 Mar,Deltapoll,,GB,1054,35%,45%,7%,4%,4%,3%,2% UKIP on 1%Other on 1%,10,2023,
19 Mar,Redfield & Wilton,,GB,2000,26%,47%,11%,4%,6%,5%,2%,21,2023,
17–19 Mar,Savanta,,GB,2175,31%,45%,9%,3%,3%,4%,5% Plaid Cymru on 1%Other on 4%,14,2023,
16–17 Mar,PeoplePolling,GB News,UK,1289,20%,45%,9%,5%,13%,6%,3%,25,2023,
15–17 Mar,Opinium,The Observer,GB,2000,29%,44%,8%,3%,6%,7%,3% Plaid Cymru on 1%Other on 2%,15,2023,
15–16 Mar,YouGov,The Times,GB,2155,27%,46%,9%,4%,6%,6%,2% Plaid Cymru on 1%Other on 1%,19,2023,
15–16 Mar,BMG,,GB,1546,29%,46%,8%,4%,4%,6%,3% Plaid Cymru on 1%Other on 2%,17,2023,
15–16 Mar,Techne,,GB,1632,30%,47%,8%,3%,4%,5%,2%,17,2023,
15 Mar,Omnisis,,UK,1126,25%,46%,6%,3%,7%,9%,3%,21,2023,
13–15 Mar,Survation,,UK,1011,32%,48%,8%,3%,2%,3%,5% UKIP on 1%Other on 4%,16,2023,
10–13 Mar,Deltapoll,,GB,1561,27%,50%,9%,3%,4%,4%,3% Plaid Cymru on 1%Other on 2%,23,2023,
12 Mar,Redfield & Wilton,,GB,2000,27%,48%,11%,3%,5%,6%,1%,21,2023,
10–12 Mar,Savanta,,GB,2093,30%,45%,9%,3%,3%,5%,5% Plaid Cymru on 1%Other on 4%,15,2023,
8–10 Mar,Opinium,,GB,2000,29%,44%,8%,3%,5%,8%,4% Plaid Cymru on 1%Other on 3%,15,2023,
8–9 Mar,Omnisis,,GB,1323,26%,50%,7%,4%,5%,6%,2%,24,2023,
8–9 Mar,Techne,,GB,1624,29%,46%,9%,3%,5%,6%,2%,17,2023,
8 Mar,PeoplePolling,GB News,UK,1158,23%,42%,8%,4%,10%,7%,5%,19,2023,
7–8 Mar,YouGov,The Times,GB,2049,23%,45%,10%,4%,7%,7%,3% Plaid Cymru on 1%Other on 2%,22,2023,
2–6 Mar,Deltapoll,,GB,1630,31%,47%,8%,4%,5%,4%,1% UKIP on 1%,16,2023,
5 Mar,Redfield & Wilton,,GB,2000,24%,50%,9%,3%,5%,7%,1%,26,2023,
3–5 Mar,Savanta,,GB,2138,32%,43%,9%,4%,3%,5%,5% Plaid Cymru on 1%Other on 4%,11,2023,
2–3 Mar,Omnisis,,GB,1284,26%,45%,11%,4%,6%,6%,2%,19,2023,
2–3 Mar,Survation,,UK,870,29%,45%,10%,3%,3%,4%,6%,16,2023,
1–3 Mar,FindOutNow/Electoral Calculus,Daily Telegraph,GB,1487,25%,48%,9%,4%,6%,5%,2% Plaid Cymru on 1%Other on 1%,23,2023,
1–3 Mar,Opinium,Headlands Consultancy,GB,3000,30%,42%,9%,3%,6%,8%,4% Plaid Cymru on 1%Other on 3%,12,2023,
1–3 Mar,Opinium,The Observer,GB,1419,27%,44%,7%,3%,7%,8%,3%,17,2023,
1–2 Mar,Techne,,GB,1625,29%,47%,8%,3%,5%,6%,2%,18,2023,
1 Mar,PeoplePolling,GB News,UK,1158,24%,45%,9%,5%,8%,7%,3%,21,2023,
28 Feb – 1 Mar,YouGov,The Times,GB,2073,25%,47%,10%,4%,5%,6%,3% Plaid Cymru on 1%Other on 2%,22,2023,
22 Feb – 1 Mar,Ipsos,Evening Standard,UK,1004,25%,51%,9%,6%,5%,3%,TBC,26,2023,
24–27 Feb,Deltapoll,,GB,1060,31%,46%,8%,3%,4%,5%,3% Plaid Cymru on 1%UKIP on 1%Other on 1%,15,2023,
26 Feb,Redfield & Wilton,,GB,2000,24%,51%,9%,3%,5%,7%,1%,27,2023,
24–26 Feb,Savanta,,UK,2224,29%,44%,9%,4%,3%,6%,5% Plaid Cymru on 1%Other on 4%,15,2023,
22–23 Feb,Omnisis,,GB,1248,24%,48%,10%,4%,5%,8%,1%,24,2023,
22–23 Feb,Techne,,GB,1633,27%,49%,8%,3%,5%,5%,3%,22,2023,
21–23 Feb,BMG,,GB,1500,29%,46%,9%,4%,4%,6%,2% Plaid Cymru on 1%Other on 1%,17,2023,
22 Feb,PeoplePolling,GB News,UK,1192,20%,46%,7%,5%,8%,9%,4%,26,2023,
21–22 Feb,YouGov,The Times,GB,2003,23%,46%,9%,4%,7%,8%,3% Plaid Cymru on 1%Other on 2%,23,2023,
17–20 Feb,Deltapoll,,GB,1079,28%,50%,9%,4%,3%,2%,3% Plaid Cymru on 1%UKIP on 1%Other on 1%,22,2023,
16–20 Feb,Kantar Public,,GB,1120,28%,45%,9%,5%,7%,5%,1% UKIP on 1%,17,2023,
17–19 Feb,Savanta,,UK,2103,31%,45%,9%,3%,3%,4%,4% Plaid Cymru on 1%Other on 3%,14,2023,
18 Feb,Redfield & Wilton,,GB,2000,24%,51%,10%,3%,5%,6%,1%,27,2023,
15–17 Feb,Opinium,The Observer,GB,1451,28%,44%,9%,4%,6%,7%,2%,16,2023,
15–16 Feb,Omnisis,,GB,1259,25%,48%,10%,3%,5%,7%,1%,23,2023,
15–16 Feb,Techne,,GB,1631,27%,48%,8%,3%,5%,6%,3%,21,2023,
10–16 Feb,Survation,,UK,6094,29%,48%,8%,3%,3%,4%,6% Plaid Cymru on 1%UKIP on 1%Other on 3%,19,2023,
15 Feb,PeoplePolling,GB News,UK,1148,21%,48%,8%,5%,8%,7%,4%,27,2023,
14–15 Feb,YouGov,The Times,GB,2062,22%,50%,9%,4%,6%,7%,2% Plaid Cymru on 1%Other on 1%,28,2023,
10–13 Feb,Deltapoll,,GB,1004,28%,48%,8%,5%,6%,3%,2% UKIP on 1%Other on 1%,20,2023,
12 Feb,Redfield & Wilton,,GB,2000,27%,48%,9%,4%,5%,6%,1%,21,2023,
10–12 Feb,Focaldata,,GB,1041,28%,48%,9%,3%,4%,6%,2%,20,2023,
10–12 Feb,Savanta,,UK,2175,28%,45%,10%,3%,4%,5%,4%,17,2023,
9–10 Feb,Omnisis,,GB,1281,26%,47%,10%,4%,4%,8%,1%,21,2023,
9 Feb,West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],West Lancashire by-election[3],2023,
8–9 Feb,PeoplePolling,GB News,UK,1229,21%,50%,7%,4%,6%,7%,3%,29,2023,
8–9 Feb,Techne,,GB,1627,26%,47%,9%,4%,5%,6%,3%,21,2023,
8–9 Feb,YouGov,The Times,GB,2061,24%,47%,10%,4%,6%,6%,3% Plaid Cymru on 1%Other on 2%,23,2023,
3–6 Feb,Deltapoll,,GB,1831,29%,47%,9%,4%,4%,5%,3% Plaid Cymru on 1%UKIP on 1%Other on 1%,18,2023,
1–6 Feb,Survation,,UK,1923,26%,42%,11%,4%,5%,6%,6% Plaid Cymru on 1%UKIP on 1%Other on 4%,16,2023,
5 Feb,Redfield & Wilton,,GB,2000,24%,50%,10%,3%,5%,6%,2% Plaid Cymru on 1%Other on 1%,26,2023,
3–5 Feb,Savanta,,UK,2247,27%,46%,9%,3%,4%,5%,4%,19,2023,
27 Jan – 5 Feb,FindOutNow/Electoral Calculus,The Daily Telegraph,GB,28191,23%,48%,11%,4%,5%,5%,?,25,2023,
2–3 Feb,Omnisis,,GB,1324,24%,48%,9%,4%,5%,6%,3% Other on 1%Independent on 2%,24,2023,
1–2 Feb,Techne,,UK,1634,27%,48%,8%,4%,4%,7%,2%,21,2023,
1 Feb,PeoplePolling,GB News,UK,1139,22%,46%,9%,5%,7%,7%,2%,24,2023,
31 Jan – 1 Feb,YouGov,The Times,GB,2006,24%,48%,9%,4%,6%,6%,3% Plaid Cymru on 1%Other on 2%,24,2023,
26–30 Jan,Deltapoll,,GB,1057,29%,46%,9%,4%,4%,4%,2%,17,2023,
29 Jan,Redfield & Wilton,,GB,2000,28%,49%,8%,4%,5%,5%,1%,21,2023,
29 Jan,Savanta,,UK,2041,26%,47%,9%,3%,4%,6%,5%,21,2023,
26–27 Jan,Omnisis,,GB,1311,26%,50%,7%,3%,6%,7%,2%,24,2023,
25–26 Jan,Techne,,UK,1631,26%,47%,8%,4%,5%,7%,3%,21,2023,
24–26 Jan,BMG,,GB,1502,29%,46%,9%,4%,3%,6%,3% Plaid Cymru on 1%Other on 2%,17,2023,
24–25 Jan,YouGov,The Times,GB,2058,26%,45%,10%,4%,7%,6%,3% Plaid Cymru on 1%Other on 2%,19,2023,
18–25 Jan,Ipsos,,UK,1001,26%,51%,9%,6%,5%,2%,3% Plaid Cymru on 1%UKIP on 1%BNP on 1%,25,2023,
24 Jan,PeoplePolling,GB News,UK,1270,21%,50%,8%,6%,5%,7%,3%,29,2023,
22 Jan,Redfield & Wilton,,GB,2000,26%,48%,9%,5%,4%,6%,1%,22,2023,
19–21 Jan,Deltapoll,,GB,1563,30%,44%,9%,4%,5%,4%,2%,14,2023,
19–20 Jan,Omnisis,,GB,1268,24%,50%,8%,4%,5%,5%,3%,26,2023,
18–19 Jan,Techne,,UK,1625,27%,46%,9%,4%,5%,6%,3%,19,2023,
18–19 Jan,YouGov,The Times,GB,2004,26%,48%,8%,4%,5%,7%,2% Plaid Cymru on 1%Other on 1%,22,2023,
18 Jan,PeoplePolling,GB News,UK,1168,21%,45%,9%,5%,9%,8%,3%,24,2023,
17–18 Jan,Focaldata,Sam Freedman,GB,1028,24%,49%,9%,3%,4%,7%,4%,25,2023,
12–16 Jan,Deltapoll,,GB,1059,29%,45%,10%,5%,5%,4%,3% UKIP on 3%,16,2023,
15 Jan,Redfield & Wilton,,GB,2000,27%,47%,10%,4%,5%,6%,1%,20,2023,
11–13 Jan,Opinium,The Observer,GB,2000,29%,45%,9%,3%,5%,6%,3% Plaid Cymru on 1%Other on 2%,16,2023,
11–12 Jan,Techne,,UK,1636,26%,47%,8%,4%,5%,7%,3%,21,2023,
11–12 Jan,Omnisis,,GB,1247,28%,48%,7%,4%,7%,3%,1%,20,2023,
11 Jan,PeoplePolling,GB News,UK,1160,21%,48%,8%,5%,7%,7%,8%,27,2023,
10–11 Jan,YouGov,The Times,GB,1691,25%,47%,9%,5%,5%,7%,2% Plaid Cymru on 1%Other on 1%,22,2023,
20 Dec – 11 Jan,YouGov,The Times,GB,4922,24%,47%,9%,5%,5%,7%,3% Plaid Cymru on 1%Other on 2%,23,2023,
8 Jan,Redfield & Wilton,,GB,2000,26%,48%,9%,4%,5%,6%,2%,22,2023,
5–7 Jan,Deltapoll,,GB,1593,31%,45%,9%,3%,5%,3%,3% UKIP on 2%Other on 1%,14,2023,
5–6 Jan,Omnisis,,GB,1285,27%,49%,10%,4%,4%,4%,1%,22,2023,
4–5 Jan,YouGov,The Times,GB,1709,25%,46%,9%,5%,6%,7%,3% Plaid Cymru on 1%Other on 2%,21,2023,
4–5 Jan,Techne,,UK,1625,25%,46%,9%,4%,5%,8%,3%,21,2023,
4 Jan,PeoplePolling,GB News,GB,1209,22%,46%,7%,5%,7%,8%,7% Plaid Cymru on 1%Other on 6%,24,2023,
2–3 Jan,Redfield & Wilton,,GB,2000,27%,47%,12%,4%,3%,5%,1%,20,2023,
28 Dec,PeoplePolling,GB News,GB,1169,19%,45%,8%,6%,9%,8%,4% Plaid Cymru on 1%Other on 3%,26,2022,
21–22 Dec,Omnisis,,GB,1243,25%,51%,7%,4%,5%,6%,2% Plaid Cymru on 0%Other on 2%,26,2022,
21–22 Dec,Techne,,UK,1633,28%,45%,8%,4%,5%,7%,3%,17,2022,
21 Dec,PeoplePolling,GB News,GB,1151,22%,46%,8%,5%,6%,8%,3%,24,2022,
20–21 Dec,YouGov,The Times,GB,1672,24%,48%,9%,4%,5%,8%,3% Plaid Cymru on 1%Other on 2%,24,2022,
16–18 Dec,Savanta,,UK,2024,28%,45%,9%,5%,3%,5%,5%,17,2022,
15–16 Dec,Omnisis,,GB,1216,26%,47%,9%,5%,6%,6%,1%,21,2022,
14–16 Dec,Opinium,The Observer,GB,2000,29%,44%,9%,3%,5%,8%,3% Plaid Cymru on 1%Other on 2%,15,2022,
15 Dec,Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],Stretford and Urmston by-election[4],2022,
14–15 Dec,YouGov,The Times,GB,1690,23%,48%,8%,5%,5%,9%,2% Plaid Cymru on 1%Other on 1%,25,2022,
14–15 Dec,Techne,,UK,1631,28%,46%,9%,3%,5%,6%,3%,18,2022,
14 Dec,PeoplePolling,GB News,GB,1151,24%,45%,7%,5%,6%,7%,4%,21,2022,
7–13 Dec,Ipsos,,GB,1007,23%,49%,13%,5%,3%,2%,4%,26,2022,
9–12 Dec,Kantar Public,,GB,1097,29%,46%,9%,5%,5%,4%,3% UKIP on 2%Other on 1%,17,2022,
9–12 Dec,Deltapoll,,GB,1088,32%,45%,9%,5%,5%,4%,4% UKIP on 2%Plaid Cymru on 1%Other on 1%,13,2022,
11 Dec,Redfield & Wilton,,GB,2000,29%,46%,9%,3%,5%,7%,2% Plaid Cymru on 1%Other on 1%,17,2022,
9–11 Dec,Savanta,,UK,2194,29%,45%,8%,3%,3%,6%,5%,16,2022,
8–9 Dec,Omnisis,,GB,1294,30%,48%,9%,2%,6%,4%,1% Independent on 0%Other on 1%,18,2022,
7 Dec,PeoplePolling,GB News,GB,1231,20%,47%,8%,5%,6%,9%,5%,27,2022,
7–8 Dec,Techne,,UK,1625,27%,48%,9%,4%,4%,5%,3%,21,2022,
6–7 Dec,YouGov,The Times,GB,1696,24%,48%,9%,4%,5%,8%,2% Plaid Cymru on 1%Other on 2%,24,2022,
1–5 Dec,Deltapoll,,GB,1632,28%,48%,10%,4%,4%,4%,2% Plaid Cymru on 1%UKIP on 1%Other on 0%,20,2022,
2–5 Dec,Savanta,,UK,6237,28%,48%,11%,–,3%,4%,TBC,20,2022,
4 Dec,Redfield & Wilton,,GB,2000,26%,48%,10%,3%,6%,5%,1%,22,2022,
2–4 Dec,Savanta,,UK,2211,31%,42%,10%,4%,3%,5%,5% Plaid Cymru on 1%Other on 4%,11,2022,
1–2 Dec,Omnisis,,GB,1189,25%,48%,9%,4%,6%,5%,4% Independent on 1%Other on 3%,23,2022,
30 Nov – 2 Dec,Opinium,The Observer,GB,2000,29%,43%,8%,4%,6%,6%,3% Plaid Cymru on 1%Other on 2%,14,2022,
1 Dec,City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],City of Chester by-election[5],2022,
1 Dec,Techne,,UK,1632,26%,49%,10%,4%,4%,5%,2%,23,2022,
29 Nov – 1 Dec,BMG,The i,GB,1571,28%,46%,10%,4%,5%,6%,2% Plaid Cymru on 0%Other on 2%,18,2022,
