dates,pollster,client,conservative,labour,liberal_democrat,lead,year,social_democratic_party,alliance
24 Aug,ICM,Daily Mail,40%,43%,12%,3%,1991,,
19 Aug,NOP,The Independent,38%,44%,12%,6%,1991,,
15 Aug,Harris,The Observer,40%,41%,14%,1%,1991,,
10 Aug,ICM,The Guardian,36%,45%,16%,9%,1991,,
5 Aug,Gallup,The Daily Telegraph,36%,41%,16.5%,5%,1991,,
1 Aug,Audience Selection,,39%,40%,15%,1%,1991,,
29 Jul,Audience Selection,,35%,43%,15%,8%,1991,,
24 Jul,ICM,Daily Express,38%,44%,13%,6%,1991,,
22 Jul,MORI,,38%,43%,15%,5%,1991,,
20 Jul,ICM,Daily Mail,37%,44%,16%,7%,1991,,
18 Jul,Harris,The Observer,39%,42%,14%,3%,1991,,
15 Jul,NOP,The Independent,39%,43%,13%,4%,1991,,
6 Jul,ICM,The Guardian,37%,43%,16%,6%,1991,,
4 Jul,Liverpool Walton by-election,Liverpool Walton by-election,Liverpool Walton by-election,Liverpool Walton by-election,Liverpool Walton by-election,Liverpool Walton by-election,1991,,
1 Jul,Gallup,The Daily Telegraph,37%,40.5%,17%,3.5%,1991,,
27 Jun,NOP,The Mail on Sunday,41%,42%,13%,1%,1991,,
24 Jun,MORI,,39%,41%,15%,2%,1991,,
21 Jun,ICM,Daily Mail,35%,44%,17%,9%,1991,,
21 Jun,MORI,Sunday Express,39%,38%,17%,1%,1991,,
17 Jun,NOP,The Independent,37%,45%,14%,8%,1991,,
13 Jun,Harris,The Observer,35%,45%,16%,10%,1991,,
8 Jun,ICM,The Guardian,34%,44%,17%,10%,1991,,
3 Jun,Gallup,The Daily Telegraph,33.5%,41.5%,21%,8%,1991,,
2 Jun,Harris,TV-AM,36%,43%,15%,7%,1991,,
1 Jun,NMR,The Independent on Sunday,37%,43%,16%,6%,1991,,
1 Jun,Audience Selection,,41%,42%,13%,1%,1991,,
28 May,MORI,The Sunday Times,37%,43%,16%,6%,1991,,
25 May,ICM,Daily Mail,37%,41%,16%,4%,1991,,
20 May,NOP,The Independent,36%,44%,15%,8%,1991,,
18 May,Audience Selection,,39%,39%,19%,Tie,1991,,
16 May,Harris,The Observer,38%,42%,16%,4%,1991,,
16 May,Monmouth by-election,Monmouth by-election,Monmouth by-election,Monmouth by-election,Monmouth by-election,Monmouth by-election,1991,,
11 May,ICM,The Guardian,37%,43%,16%,6%,1991,,
6 May,Gallup,The Daily Telegraph,38.5%,38%,18%,0.5%,1991,,
2 May,1991 local elections[5],1991 local elections[5],1991 local elections[5],1991 local elections[5],1991 local elections[5],1991 local elections[5],1991,,
29 Apr,Audience Selection,,43%,38%,14%,5%,1991,,
27 Apr,NMR,The Independent on Sunday,47%,37%,14%,10%,1991,,
27 Apr,ICM,Daily Mail,39%,41%,14%,2%,1991,,
26 Apr,Harris,Sunday Express,41%,41%,14%,Tie,1991,,
26 Apr,Gallup,The Sunday Telegraph,42%,39%,14%,3%,1991,,
22 Apr,MORI,The Sunday Times,42%,40%,15%,2%,1991,,
22 Apr,NOP,The Independent,41%,41%,13%,Tie,1991,,
18 Apr,Harris,The Observer,40%,40%,14%,Tie,1991,,
6 Apr,ICM,The Guardian,39%,43%,13%,4%,1991,,
4 Apr,Neath by-election,Neath by-election,Neath by-election,Neath by-election,Neath by-election,Neath by-election,1991,,
3 Apr,ICM,Daily Express,38%,40%,19%,2%,1991,,
30 Mar,Gallup,The Daily Telegraph,39.5%,34.5%,18%,5%,1991,,
25 Mar,MORI,The Sunday Times,40%,40%,16%,Tie,1991,,
24 Mar,ICM,Daily Mail,41%,40%,15%,1%,1991,,
22 Mar,MORI,Sunday Express,38%,44%,15%,6%,1991,,
21 Mar,ICM,Daily Express,37%,40%,14%,3%,1991,,
14 Mar,Harris,The Observer,40%,39%,17%,1%,1991,,
12 Mar,Audience Selection,,44%,32%,19%,12%,1991,,
11 Mar,NOP,The Independent,38%,39%,18%,1%,1991,,
9 Mar,ICM,The Guardian,39%,40%,16%,1%,1991,,
8 Mar,MORI,Sunday Express,41%,37%,16%,4%,1991,,
7 Mar,Ribble Valley by-election,Ribble Valley by-election,Ribble Valley by-election,Ribble Valley by-election,Ribble Valley by-election,Ribble Valley by-election,1991,,
5 Mar,NOP,,43%,38%,11%,5%,1991,,
4 Mar,Harris,The Observer,47%,39%,9%,8%,1991,,
1 Mar,Gallup,The Daily Telegraph,45%,36.5%,13%,8.5%,1991,,
25 Feb,MORI,The Sunday Times,44%,41%,11%,3%,1991,,
23 Feb,ICM,Daily Mail,44%,43%,9%,1%,1991,,
16 Feb,NMR,The Independent on Sunday,47%,40%,8%,7%,1991,,
14 Feb,Harris,The Observer,46%,42%,8%,4%,1991,,
13 Feb,NOP,The Independent,45%,42%,9%,3%,1991,,
9 Feb,ICM,The Guardian,44%,42%,9%,2%,1991,,
4 Feb,Gallup,The Daily Telegraph,42%,42.5%,10%,0.5%,1991,,
4 Feb,Audience Selection,,46%,39%,8%,7%,1991,,
3 Feb,Harris,The Observer,47%,39%,9%,8%,1991,,
28 Jan,Audience Selection,,51%,34%,8%,17%,1991,,
21 Jan,MORI,The Sunday Times,46%,41%,9%,5%,1991,,
17 Jan,Harris,The Observer,46%,41%,9%,5%,1991,,
14 Jan,NOP,The Independent,43%,44%,8%,1%,1991,,
12 Jan,ICM,The Guardian,43%,43%,10%,Tie,1991,,
11 Jan,Harris,ITN,47%,41%,7%,6%,1991,,
10 Jan,MORI,The Times,44%,42%,11%,2%,1991,,
7 Jan,Gallup,The Daily Telegraph,43%,41.5%,10%,1.5%,1991,,
6 Jan,Audience Selection,,39%,43%,11%,4%,1991,,
28 Dec,MORI,The Sunday Times,41%,45%,9%,4%,1990,–,
13 Dec,Harris,The Observer,44%,40%,10%,4%,1990,–,
10 Dec,Gallup,The Daily Telegraph,43%,40.5%,10.5%,2.5%,1990,–,
10 Dec,NOP,The Independent,47%,42%,7%,5%,1990,–,
8 Dec,ICM,The Guardian,45%,43%,9%,2%,1990,–,
3 Dec,Audience Selection,,49%,36%,9%,13%,1990,–,
1 Dec,NMR,The Independent on Sunday,48%,40%,8%,8%,1990,–,
29 Nov,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,Paisley North & Paisley South by-elections,1990,Paisley North & Paisley South by-elections,
28 Nov,Harris,ITN,49%,38%,9%,11%,1990,–,
27 Nov,John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],John Major is elected leader of the Conservative Party and Prime Minister[6],1990,John Major is elected leader of the Conservative Party and Prime Minister[6],
26 Nov,Audience Selection,,44%,37%,12%,7%,1990,–,
26 Nov,Gallup,The Daily Telegraph,44%,41%,10%,3%,1990,–,
26 Nov,NOP,The Independent,49%,38%,9%,11%,1990,–,
23 Nov,Gallup,The Sunday Telegraph,43%,41.5%,11%,1.5%,1990,–,
23 Nov,ICM,The Sunday Correspondent,46%,40%,10%,6%,1990,–,
22 Nov,Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],Margaret Thatcher resigns as Prime Minister[7],1990,Margaret Thatcher resigns as Prime Minister[7],
19 Nov,MORI,The Sunday Times,38%,46%,12%,8%,1990,–,
19 Nov,Gallup,The Daily Telegraph,36%,44.5%,10.5%,8.5%,1990,–,
19 Nov,NOP,The Independent,40%,45%,11%,5%,1990,–,
18 Nov,Gallup,The Sunday Telegraph,35%,48%,11%,13%,1990,–,
17 Nov,NMR,The Independent on Sunday,42%,44%,11%,2%,1990,–,
16 Nov,MORI,The Sunday Times,37%,48%,11%,11%,1990,–,
16 Nov,ICM,The Sunday Correspondent,37%,49%,9%,12%,1990,–,
15 Nov,Harris,ITN,34%,49%,13%,15%,1990,–,
15 Nov,Harris,The Observer,34%,49%,13%,15%,1990,–,
15 Nov,MORI,The Times,41%,45%,10%,4%,1990,–,
14 Nov,NOP,The Independent,32%,46%,15%,14%,1990,–,
10 Nov,ICM,The Guardian,33%,49%,13%,16%,1990,–,
8 Nov,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,Bootle & Bradford North by-elections,1990,Bootle & Bradford North by-elections,
3 Nov,NMR,The Independent on Sunday,32%,49%,13%,17%,1990,–,
3 Nov,NOP,The Mail on Sunday,30%,51%,12%,21%,1990,–,
29 Oct,Audience Selection,,36%,40%,13%,4%,1990,–,
29 Oct,Gallup,The Daily Telegraph,31.5%,46%,15.5%,14.5%,1990,–,
28 Oct,Harris,The Observer,32%,48%,14%,16%,1990,–,
27 Oct,ICM,The Sunday Correspondent,34%,44%,14%,10%,1990,–,
22 Oct,MORI,The Sunday Times,33%,49%,14%,16%,1990,–,
22 Oct,NOP,The Independent,35%,45%,15%,10%,1990,–,
18 Oct,Eastbourne by-election,Eastbourne by-election,Eastbourne by-election,Eastbourne by-election,Eastbourne by-election,Eastbourne by-election,1990,Eastbourne by-election,
13 Oct,ICM,The Guardian,36%,49%,9%,13%,1990,–,
1 Oct,Gallup,The Sunday Telegraph,31.5%,46%,14%,14.5%,1990,–,
29 Sep,NMR,The Independent on Sunday,33%,52%,10%,19%,1990,–,
27 Sep,Knowsley South by-election,Knowsley South by-election,Knowsley South by-election,Knowsley South by-election,Knowsley South by-election,Knowsley South by-election,1990,Knowsley South by-election,
24 Sep,MORI,The Sunday Times,38%,45%,12%,7%,1990,–,
24 Sep,NOP,The Independent,39%,44%,12%,5%,1990,–,
22 Sep,ICM,The Sunday Correspondent,35%,44%,12%,9%,1990,–,
20 Sep,Harris,The Observer,38%,46%,10%,8%,1990,–,
8 Sep,ICM,The Guardian,37%,50%,8%,13%,1990,–,
8 Sep,Gallup,The Daily Telegraph,31.5%,46%,14%,14.5%,1990,–,
3 Sep,Gallup,The Daily Telegraph,35.5%,48%,8.5%,12.5%,1990,–,
3 Sep,Audience Selection,,38%,45%,6%,7%,1990,–,
1 Sep,Audience Selection,,32%,45%,15%,13%,1990,–,
25 Aug,ICM,The Sunday Correspondent,37%,51%,6%,14%,1990,–,
23 Aug,Harris,The Observer,38%,46%,10%,8%,1990,–,
20 Aug,MORI,The Sunday Times,35%,50%,10%,15%,1990,–,
13 Aug,NOP,The Independent,36%,48%,7%,12%,1990,–,
11 Aug,ICM,The Guardian,38%,49%,9%,11%,1990,–,
30 Jul,Audience Selection,,35%,46%,9%,11%,1990,–,
30 Jul,Gallup,The Daily Telegraph,33.5%,48%,11.5%,14.5%,1990,–,
23 Jul,MORI,The Sunday Times,38%,46%,10%,8%,1990,–,
21 Jul,ICM,The Sunday Correspondent,36%,52%,7%,16%,1990,–,
19 Jul,Harris,The Observer,37%,49%,7%,12%,1990,–,
16 Jul,NOP,The Independent,37%,50%,7%,13%,1990,–,
7 Jul,ICM,The Guardian,35%,51%,8%,16%,1990,–,
2 Jul,Gallup,The Daily Telegraph,36%,47%,9%,11%,1990,–,
2 Jul,Audience Selection,,39%,44%,7%,5%,1990,–,
23 Jun,ICM,The Sunday Correspondent,36%,53%,5%,17%,1990,–,
21 Jun,Harris,The Observer,37%,48%,8%,11%,1990,–,
18 Jun,NOP,The Independent,37%,48%,8%,11%,1990,–,
18 Jun,MORI,The Sunday Times,38%,49%,8%,11%,1990,–,
9 Jun,ICM,The Guardian,35%,54%,5%,19%,1990,–,
8 Jun,NMR,The Independent on Sunday,36%,49%,9%,13%,1990,–,
4 Jun,Gallup,The Daily Telegraph,29.5%,53%,7.5%,23.5%,1990,2.5%,
28 May,Audience Selection,,37%,47%,5%,10%,1990,3%,
26 May,ICM,The Sunday Correspondent,36%,50%,5%,14%,1990,1%,
24 May,Harris,The Observer,32%,50%,9%,18%,1990,1%,
24 May,Bootle by-election,Bootle by-election,Bootle by-election,Bootle by-election,Bootle by-election,Bootle by-election,1990,Bootle by-election,
21 May,NOP,The Independent,34%,49%,8%,15%,1990,2%,
21 May,MORI,The Sunday Times,35%,48%,8%,13%,1990,4%,
17 May,Upper Bann by-election,Upper Bann by-election,Upper Bann by-election,Upper Bann by-election,Upper Bann by-election,Upper Bann by-election,1990,Upper Bann by-election,
12 May,ICM,The Guardian,32%,50%,8%,18%,1990,4%,
4 May,NOP,The Mail on Sunday,34%,47%,8%,13%,1990,3%,
3 May,1990 local elections[8],1990 local elections[8],1990 local elections[8],1990 local elections[8],1990 local elections[8],1990 local elections[8],1990,1990 local elections[8],
30 Apr,Audience Selection,,32%,49%,6%,17%,1990,4%,
30 Apr,Gallup,The Daily Telegraph,32%,47%,7.5%,15%,1990,4%,
28 Apr,NOP,The Independent on Sunday,31%,51%,7%,20%,1990,3%,
28 Apr,ICM,The Sunday Correspondent,30%,53%,8%,23%,1990,2%,
24 Apr,MORI,The Sunday Times,31%,54%,6%,23%,1990,3%,
22 Apr,NOP,The Independent,29%,54%,7%,25%,1990,3%,
19 Apr,Harris,The Observer,32%,54%,7%,22%,1990,1%,
7 Apr,NMR,The Independent on Sunday,30%,54%,5%,24%,1990,4%,
7 Apr,ICM,The Guardian,32%,56%,4%,24%,1990,2%,
6 Apr,ICM,,32%,54%,5%,22%,1990,2%,
2 Apr,Gallup,The Daily Telegraph,28%,52.5%,7.5%,24.5%,1990,3.5%,
26 Mar,Audience Selection,,30%,51%,6%,21%,1990,3%,
24 Mar,NOP,The Independent on Sunday,33%,52%,6%,19%,1990,3%,
23 Mar,ICM,,28%,55%,7%,27%,1990,2%,
22 Mar,Harris,The Observer,29%,57%,6%,28%,1990,3%,
22 Mar,Mid Staffordshire by-election,Mid Staffordshire by-election,Mid Staffordshire by-election,Mid Staffordshire by-election,Mid Staffordshire by-election,Mid Staffordshire by-election,1990,Mid Staffordshire by-election,
20 Mar,MORI,The Sunday Times,31%,54%,6%,23%,1990,2%,
12 Mar,NOP,The Independent,33%,51%,6%,18%,1990,3%,
10 Mar,ICM,The Guardian,31%,52%,5%,21%,1990,4%,
26 Feb,Gallup,The Daily Telegraph,31%,49.5%,7%,18.5%,1990,3.5%,
26 Feb,Audience Selection,,34%,46%,7%,12%,1990,3%,
24 Feb,ICM,,33%,52%,6%,19%,1990,3%,
22 Feb,Harris,The Observer,36%,48%,8%,12%,1990,2%,
19 Feb,MORI,The Sunday Times,34%,51%,5%,17%,1990,4%,
12 Feb,NOP,The Independent,36%,48%,6%,12%,1990,3%,
10 Feb,ICM,The Guardian,36%,51%,5%,15%,1990,3%,
29 Jan,Gallup,The Daily Telegraph,32.5%,48%,8%,15.5%,1990,3%,
29 Jan,Audience Selection,,38%,47%,5%,9%,1990,4%,
27 Jan,ICM,,37%,48%,4%,11%,1990,3%,
25 Jan,Harris,The Observer,36%,49%,6%,13%,1990,2%,
22 Jan,MORI,The Sunday Times,36%,48%,5%,12%,1990,3%,
18 Jan,Harris,The Observer,37%,48%,6%,11%,1990,3%,
15 Jan,NOP,The Independent,40%,44%,7%,4%,1990,–,
13 Jan,ICM,The Guardian,38%,47%,5%,9%,1990,3%,
8 Jan,Gallup,The Daily Telegraph,35%,45.5%,7.5%,10.5%,1990,3.5%,
28 Dec,MORI,The Sunday Times,39%,46%,6%,7%,1989,3%,
18 Dec,Audience Selection,,40%,42%,6%,2%,1989,4%,
17 Dec,ICM,The Sunday Correspondent,38%,49%,4%,11%,1989,3%,
14 Dec,Harris,The Observer,39%,46%,6%,7%,1989,1%,
8 Dec,ICM,The Guardian,37%,49%,4%,12%,1989,3%,
4 Dec,NOP,,38%,45%,7%,7%,1989,–,
4 Dec,Gallup,The Daily Telegraph,37.5%,43.5%,9%,6%,1989,3%,
27 Nov,MORI,,42%,46%,5%,4%,1989,3%,
27 Nov,Audience Selection,,37%,44%,4%,7%,1989,3%,
26 Nov,MORI,The Sunday Times,37%,51%,4%,14%,1989,3%,
25 Nov,ICM,The Sunday Correspondent,38%,48%,3%,10%,1989,4%,
23 Nov,Harris,The Observer,36%,47%,9%,11%,1989,1%,
13 Nov,NOP,,34%,46%,9%,12%,1989,–,
11 Nov,ICM,The Guardian,36%,49%,6%,13%,1989,3%,
31 Oct,Harris,BBC,37%,50%,6%,13%,1989,2%,
30 Oct,Audience Selection,,33%,50%,4%,17%,1989,2%,
30 Oct,Gallup,The Daily Telegraph,35%,44%,8%,9%,1989,2.5%,
29 Oct,MORI,The Sunday Times,39%,46%,0%,7%,1989,–,
28 Oct,NOP,The Mail on Sunday,41%,47%,6%,6%,1989,–,
23 Oct,MORI,The Sunday Times,38%,48%,5%,10%,1989,3%,
21 Oct,ICM,The Sunday Correspondent,35%,50%,4%,15%,1989,3%,
19 Oct,Harris,The Observer,38%,48%,6%,10%,1989,1%,
9 Oct,Gallup,The Daily Telegraph,38%,47.5%,4.5%,9.5%,1989,2.5%,
7 Oct,ICM,The Guardian,39%,49%,4%,10%,1989,2%,
5 Oct,Harris,The Observer,38%,49%,5%,11%,1989,2%,
4 Oct,NOP,Evening Standard,37%,46%,5%,9%,1989,–,
3 Oct,ICM,Press Association,37%,45%,4%,8%,1989,3%,
3 Oct,Audience Selection,,37%,39%,6%,2%,1989,3%,
2 Oct,Gallup,The Daily Telegraph,35%,41.5%,8.5%,6.5%,1989,5%,
28 Sep,Harris,The Observer,38%,45%,5%,7%,1989,3%,
26 Sep,MORI,The Sunday Times,38%,43%,6%,5%,1989,3%,
25 Sep,Gallup,The Sunday Telegraph,36.5%,42%,7.5%,5.5%,1989,2%,
25 Sep,NOP,The Mail on Sunday,34%,46%,7%,12%,1989,–,
23 Sep,ICM,The Sunday Correspondent,39%,45%,4%,6%,1989,2%,
20 Sep,Harris,The Observer,39%,42%,6%,3%,1989,3%,
14 Sep,Harris,The Observer,37%,45%,6%,8%,1989,3%,
9 Sep,ICM,The Guardian,36%,46%,7%,10%,1989,4%,
4 Sep,Gallup,The Daily Telegraph,36.5%,43%,6.5%,6.5%,1989,3%,
4 Sep,NOP,The Independent,38%,40%,8%,4%,1989,2%,
28 Aug,Audience Selection,,37%,42%,5%,5%,1989,4%,
26 Aug,ICM,The Sunday Correspondent,38%,46%,6%,8%,1989,3%,
24 Aug,Harris,The Observer,37%,45%,7%,8%,1989,2%,
21 Aug,NOP,,40%,41%,7%,1%,1989,1%,
21 Aug,MORI,The Sunday Times,40%,45%,4%,5%,1989,3%,
