dates,pollster_client,sample_size,conservative,labour,liberal_democrat,united_kingdom_independence_party,green,others,lead,year
15 Nov,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,Police and Crime Commissioner elections. By-elections in Corby Cardiff South and Penarth and Manchester Central.,2012
14–15 Nov,YouGov/The Sun,1746,33%,43%,8%,9%,2%,4%,10%,2012
13–14 Nov,YouGov/The Sun,1864,35%,42%,8%,7%,3%,5%,7%,2012
13 Nov,Opinium,1957,32%,39%,8%,10%,3%,8%,7%,2012
12–13 Nov,YouGov/The Sun,1828,34%,44%,9%,7%,2%,4%,10%,2012
10–13 Nov,Ipsos MORI/Evening Standard,1014,32%,46%,9%,3%,4%,6%,14%,2012
11–12 Nov,YouGov/The Sun,1583,35%,39%,10%,8%,2%,6%,4%,2012
8–12 Nov,TNS BMRB,1161,31%,41%,9%,9%,3%,7%,10%,2012
8–9 Nov,YouGov/The Sunday Times,1642,32%,44%,8%,8%,2%,5%,12%,2012
7–8 Nov,YouGov/The Sun,1859,33%,44%,9%,7%,2%,5%,11%,2012
6–7 Nov,YouGov/The Sun,1873,34%,45%,8%,6%,3%,4%,11%,2012
5–6 Nov,YouGov/The Sun,1816,35%,42%,9%,7%,2%,5%,7%,2012
4–5 Nov,YouGov/The Sun,1608,35%,44%,8%,7%,2%,4%,9%,2012
1–5 Nov,TNS BMRB,1194,31%,42%,9%,8%,3%,7%,11%,2012
1–2 Nov,YouGov/The Sunday Times,1851,35%,42%,9%,7%,2%,5%,7%,2012
31 Oct–1 Nov,YouGov/The Sun,1743,33%,44%,9%,7%,3%,4%,11%,2012
31 Oct–1 Nov,Opinium,1966,30%,41%,9%,10%,3%,7%,11%,2012
30–31 Oct,YouGov/The Sun,1824,33%,44%,9%,8%,2%,4%,11%,2012
29–30 Oct,YouGov/The Sun,1936,32%,44%,9%,8%,2%,5%,12%,2012
28–29 Oct,YouGov/The Sun,1681,33%,43%,9%,8%,2%,5%,10%,2012
25–29 Oct,TNS BMRB,1164,31%,42%,11%,8%,2%,6%,11%,2012
25–26 Oct,YouGov/The Sunday Times,1858,35%,42%,9%,7%,3%,3%,7%,2012
24–25 Oct,YouGov/The Sun,1785,33%,44%,10%,6%,2%,4%,11%,2012
23–24 Oct,YouGov/The Sun,1818,33%,43%,9%,8%,2%,5%,10%,2012
20–24 Oct,Ipsos MORI/Evening Standard,1005,33%,43%,9%,6%,3%,6%,10%,2012
22–23 Oct,YouGov/The Sun,1637,34%,42%,9%,8%,2%,5%,8%,2012
21–22 Oct,YouGov/The Sun,1666,32%,45%,8%,8%,3%,4%,13%,2012
19–22 Oct,ICM/The Guardian[permanent dead link][2],1000,32%,43%,11%,5%,2%,7%,11%,2012
18–22 Oct,TNS BMRB,1154,30%,44%,8%,7%,3%,8%,14%,2012
18–19 Oct,YouGov/The Sunday Times,1734,32%,43%,9%,9%,2%,5%,11%,2012
17–18 Oct,YouGov/The Sun,1830,34%,42%,10%,9%,2%,4%,8%,2012
16–18 Oct,Opinium,1951,31%,40%,9%,10%,4%,6%,9%,2012
16–17 Oct,YouGov/The Sun,1749,33%,42%,9%,7%,3%,6%,9%,2012
15–16 Oct,YouGov/The Sun,1766,34%,43%,9%,7%,2%,5%,9%,2012
14–15 Oct,YouGov/The Sun,1704,34%,43%,9%,7%,3%,5%,9%,2012
11–12 Oct,Angus Reid Public Opinion,2009,31%,43%,8%,8%,3%,7%,12%,2012
11–15 Oct,TNS BMRB[permanent dead link],1196,29%,42%,7%,10%,4%,8%,13%,2012
11–12 Oct,YouGov/The Sunday Times,1902,33%,43%,10%,6%,2%,5%,10%,2012
10–11 Oct,YouGov/The Sun,1761,35%,42%,8%,7%,2%,6%,7%,2012
9–10 Oct,YouGov/The Sun,1912,34%,41%,8%,10%,2%,5%,7%,2012
8–9 Oct,YouGov/The Sun,1899,33%,45%,9%,6%,3%,5%,12%,2012
7–8 Oct,YouGov/The Sun,1697,34%,44%,8%,7%,2%,5%,10%,2012
4–5 Oct,YouGov/The Sunday Times,1782,31%,45%,8%,8%,3%,4%,14%,2012
3–4 Oct,YouGov/The Sun,1745,32%,43%,10%,8%,2%,5%,11%,2012
2–4 Oct,Opinium,1965,30%,41%,9%,11%,4%,5%,11%,2012
2–3 Oct,YouGov/The Sun,1641,31%,45%,10%,7%,2%,5%,14%,2012
1–2 Oct,YouGov/The Sun,1726,34%,42%,9%,8%,2%,5%,8%,2012
30 Sep–1 Oct,YouGov/The Sun,1710,34%,43%,9%,7%,7%,7%,9%,2012
27–28 Sep,YouGov/The Sunday Times,1671,35%,40%,10%,7%,3%,6%,5%,2012
26–27 Sep,YouGov/The Sun,1891,31%,43%,11%,8%,4%,4%,12%,2012
25–26 Sep,YouGov/The Sun,1760,32%,41%,9%,9%,3%,5%,9%,2012
25 Sep,Opinium,1969,29%,39%,10%,10%,4%,8%,10%,2012
24–25 Sep,YouGov/The Sun,1764,31%,44%,9%,9%,3%,4%,13%,2012
23–24 Sep,YouGov/The Sun,1739,32%,43%,9%,7%,3%,6%,11%,2012
20–21 Sep,YouGov/The Sunday Times,1608,34%,43%,8%,8%,2%,5%,9%,2012
19–21 Sep,TNS BMRB,1140,28%,44%,8%,7%,5%,8%,16%,2012
18–21 Sep,Opinium,1964,30%,42%,8%,10%,4%,6%,12%,2012
19–20 Sep,YouGov/The Sun,1906,35%,41%,9%,7%,3%,5%,6%,2012
18–19 Sep,YouGov/The Sun,1710,33%,45%,10%,7%,2%,4%,12%,2012
17–18 Sep,YouGov/The Sun,1744,34%,43%,8%,8%,3%,4%,9%,2012
16–17 Sep,YouGov/The Sun,1731,33%,45%,10%,5%,2%,5%,12%,2012
15–17 Sep,Ipsos MORI/Evening Standard,1006,30%,41%,13%,4%,8%,4%,11%,2012
13–14 Sep,YouGov/The Sunday Times,1671,34%,44%,9%,7%,3%,4%,10%,2012
12–13 Sep,YouGov/The Sun,1594,34%,43%,8%,7%,3%,5%,9%,2012
11–12 Sep,YouGov/The Sun,1703,33%,42%,11%,7%,1%,6%,9%,2012
10–12 Sep,Opinium,1961,32%,40%,10%,9%,3%,6%,8%,2012
10–11 Sep,YouGov/The Sun,1682,31%,44%,9%,8%,3%,5%,13%,2012
9–10 Sep,YouGov/The Sun,1871,31%,42%,10%,8%,2%,7%,11%,2012
6–7 Sep,YouGov/The Sunday Times,1860,33%,43%,10%,7%,2%,5%,10%,2012
5–6 Sep,YouGov/The Sun,1311,33%,45%,8%,6%,3%,4%,12%,2012
4–5 Sep,YouGov/The Sun,1474,33%,45%,8%,7%,2%,6%,12%,2012
3–4 Sep,YouGov/The Sun,1698,34%,40%,10%,7%,3%,6%,6%,2012
2–3 Sep,YouGov/The Sun,1716,33%,44%,8%,7%,2%,6%,11%,2012
30–31 Aug,Opinium,1947,31%,42%,8%,9%,3%,7%,11%,2012
30–31 Aug,YouGov/The Sunday Times,1739,35%,41%,9%,7%,2%,5%,6%,2012
29–30 Aug,YouGov/The Sun,1653,33%,42%,10%,8%,2%,6%,9%,2012
28–29 Aug,YouGov/The Sun,1763,32%,44%,9%,6%,3%,7%,12%,2012
27–28 Aug,YouGov/The Sun,1695,32%,44%,10%,8%,3%,5%,12%,2012
24–26 Aug,ICM/The Guardian[permanent dead link][2],1006,34%,39%,15%,4%,2%,7%,5%,2012
22–23 Aug,YouGov/The Sun,1684,32%,44%,10%,7%,3%,5%,12%,2012
21–22 Aug,YouGov/The Sun,1674,33%,42%,10%,6%,2%,6%,9%,2012
20–21 Aug,YouGov/The Sun,1743,34%,44%,8%,8%,2%,4%,10%,2012
19–20 Aug,YouGov/The Sun,1725,34%,44%,8%,7%,3%,4%,10%,2012
16–17 Aug,YouGov/The Sunday Times,1687,32%,43%,10%,7%,2%,6%,11%,2012
15–16 Aug,YouGov/The Sun,1720,35%,44%,8%,6%,2%,6%,9%,2012
14–15 Aug,Angus Reid Public Opinion,2012,30%,41%,11%,9%,3%,6%,11%,2012
14–15 Aug,YouGov/The Sun,1711,34%,43%,10%,6%,2%,5%,9%,2012
13–14 Aug,YouGov/The Sun,1758,34%,44%,10%,7%,1%,4%,10%,2012
12–13 Aug,YouGov/The Sun,1742,34%,42%,9%,6%,3%,5%,8%,2012
11–13 Aug,Ipsos MORI/Evening Standard,1007,32%,42%,11%,4%,4%,7%,10%,2012
9–10 Aug,YouGov/The Sunday Times,1704,34%,42%,8%,8%,2%,5%,8%,2012
8–9 Aug,YouGov/The Sun,1751,33%,42%,9%,9%,3%,5%,9%,2012
7–9 Aug,Opinium,1960,31%,40%,10%,10%,3%,6%,9%,2012
7–8 Aug,YouGov/The Sun,1715,33%,42%,11%,6%,2%,6%,9%,2012
6–7 Aug,YouGov/The Sun,1733,33%,44%,9%,8%,2%,5%,11%,2012
5–6 Aug,YouGov/The Sun,1738,34%,44%,10%,6%,2%,4%,10%,2012
2–3 Aug,YouGov/The Sunday Times,1787,32%,44%,10%,8%,2%,4%,12%,2012
1–2 Aug,YouGov/The Sun,1654,33%,44%,8%,9%,2%,3%,11%,2012
31 Jul-1 Aug,YouGov/The Sun,1744,32%,43%,10%,8%,2%,5%,11%,2012
30–31 Jul,YouGov/The Sun,1704,34%,42%,10%,6%,2%,5%,8%,2012
29–30 Jul,YouGov/The Sun,1736,33%,44%,9%,7%,2%,5%,11%,2012
26–27 Jul,YouGov/The Sunday Times,1751,33%,42%,9%,8%,3%,5%,9%,2012
25–26 Jul,YouGov/The Sun,1702,33%,42%,9%,7%,3%,5%,9%,2012
24–25 Jul,YouGov/The Sun,1766,33%,44%,9%,7%,2%,6%,11%,2012
23–24 Jul,YouGov/The Sun,1745,33%,44%,9%,7%,3%,4%,11%,2012
22–23 Jul,YouGov/The Sun,1730,33%,43%,9%,8%,1%,6%,10%,2012
19–20 Jul,YouGov/The Sunday Times,1617,34%,43%,11%,7%,3%,3%,9%,2012
18–19 Jul,YouGov/The Sun,1658,34%,42%,9%,7%,2%,4%,8%,2012
17–18 Jul,YouGov/The Sun,1774,33%,43%,8%,7%,2%,7%,10%,2012
16–17 Jul,YouGov/The Sun,1690,34%,43%,8%,7%,2%,5%,9%,2012
15–16 Jul,YouGov/The Sun,1724,33%,44%,9%,8%,2%,5%,11%,2012
14–16 Jul,Ipsos MORI/Evening Standard,1006,31%,44%,12%,5%,3%,5%,13%,2012
13–16 Jul,Opinium,1951,32%,41%,9%,8%,4%,6%,9%,2012
12–13 Jul,YouGov/The Sunday Times,1752,34%,43%,9%,7%,3%,5%,9%,2012
11–12 Jul,YouGov/The Sun,1759,34%,42%,9%,7%,3%,5%,8%,2012
10–11 Jul,YouGov/The Sun,1696,35%,42%,9%,8%,2%,5%,7%,2012
9–10 Jul,YouGov/The Sun,1697,33%,43%,11%,6%,3%,4%,10%,2012
8–9 Jul,YouGov/The Sun,1721,35%,44%,7%,6%,3%,5%,9%,2012
5–6 Jul,YouGov/The Sunday Times,1712,32%,43%,8%,8%,3%,5%,11%,2012
4–5 Jul,YouGov/The Sun,1762,35%,43%,8%,8%,2%,5%,8%,2012
3–5 Jul,Opinium,1956,30%,40%,9%,9%,4%,8%,10%,2012
3–4 Jul,YouGov/The Sun,1761,33%,44%,8%,7%,3%,5%,11%,2012
2–3 Jul,YouGov/The Sun,1730,35%,42%,10%,7%,2%,4%,7%,2012
1–2 Jul,YouGov/The Sun,1748,34%,44%,8%,8%,2%,5%,10%,2012
28–29 Jun,YouGov/The Sunday Times,1760,34%,43%,9%,6%,2%,5%,9%,2012
27–28 Jun,YouGov/The Sun,1764,32%,43%,10%,7%,3%,5%,11%,2012
26–28 Jun,Opinium,1959,31%,42%,8%,9%,4%,6%,11%,2012
26–27 Jun,YouGov/The Sun,1751,31%,45%,9%,7%,2%,5%,14%,2012
25–26 Jun,YouGov/The Sun,1614,34%,42%,11%,7%,2%,5%,8%,2012
24–25 Jun,YouGov/The Sun,1697,32%,43%,11%,7%,1%,5%,11%,2012
22–24 Jun,ICM/The Guardian[2],1002,34%,39%,14%,3%,3%,7%,5%,2012
21–22 Jun,YouGov/The Sunday Times,1734,34%,43%,9%,8%,2%,5%,9%,2012
20–21 Jun,YouGov/The Sun,1642,33%,43%,8%,8%,2%,5%,10%,2012
19–20 Jun,YouGov/The Sun,1752,34%,41%,10%,8%,3%,5%,7%,2012
18–19 Jun,YouGov/The Sun,1727,34%,44%,7%,6%,2%,6%,10%,2012
17–18 Jun,YouGov/The Sun,1716,33%,44%,7%,8%,2%,6%,11%,2012
15–17 Jun,Populus/The Times[3],1503,33%,41%,9%,5%,5%,7%,8%,2012
14–15 Jun,YouGov/The Sunday Times,1761,32%,44%,9%,8%,3%,5%,12%,2012
13–15 Jun,ComRes/Independent on Sunday; Sunday Mirror[permanent dead link],2014,32%,42%,9%,8%,3%,6%,10%,2012
13–14 Jun,YouGov/The Sun,1711,31%,43%,9%,8%,3%,6%,12%,2012
12–13 Jun,YouGov/The Sun,1675,31%,43%,9%,9%,2%,6%,12%,2012
11–12 Jun,YouGov/The Sun,1699,33%,43%,8%,8%,3%,5%,10%,2012
10–11 Jun,YouGov/The Sun,1763,31%,45%,9%,9%,3%,6%,14%,2012
9–11 Jun,Ipsos MORI/Evening Standard,1016,31%,40%,10%,6%,5%,8%,9%,2012
8–11 Jun,Opinium,1962,31%,42%,9%,8%,4%,6%,11%,2012
7–8 Jun,YouGov/The Sunday Times,1667,34%,42%,7%,9%,3%,5%,8%,2012
6–7 Jun,YouGov/The Sun,1827,34%,43%,8%,6%,3%,6%,9%,2012
5–6 Jun,YouGov/The Sun,1766,34%,43%,8%,7%,3%,5%,9%,2012
31 May–1 Jun,YouGov/The Sunday Times,1546,32%,42%,8%,7%,4%,5%,10%,2012
30–31 May,YouGov/The Sun,1694,31%,45%,9%,8%,3%,5%,14%,2012
29–30 May,Angus Reid Public Opinion,2005,29%,45%,9%,8%,3%,6%,16%,2012
29–30 May,YouGov/The Sun,1670,32%,44%,9%,7%,3%,6%,12%,2012
28–29 May,YouGov/The Sun,1670,32%,45%,8%,8%,2%,5%,13%,2012
27–28 May,YouGov/The Sun,1743,33%,44%,8%,7%,3%,5%,11%,2012
25–28 May,ComRes/The Independent[permanent dead link],1001,34%,42%,11%,4%,3%,9%,8%,2012
24–25 May,YouGov/The Sunday Times,1640,31%,43%,8%,8%,3%,6%,12%,2012
23–24 May,YouGov/The Sun,1681,34%,42%,8%,7%,4%,5%,8%,2012
22–23 May,YouGov/The Sun,1682,32%,42%,9%,9%,3%,5%,10%,2012
21–22 May,YouGov/The Sun,1727,32%,43%,8%,9%,3%,5%,11%,2012
20–21 May,YouGov/The Sun,1705,32%,44%,7%,8%,3%,5%,12%,2012
18–20 May,Populus/The Times[3],1500,33%,41%,10%,5%,3%,10%,8%,2012
18–20 May,ICM/The Guardian[2],1002,36%,41%,11%,4%,3%,6%,5%,2012
17–18 May,YouGov/The Sunday Times,1683,32%,43%,8%,9%,2%,6%,11%,2012
16–17 May,ComRes/Independent on Sunday; Sunday Mirror[permanent dead link],2038,32%,41%,11%,7%,3%,6%,9%,2012
16–17 May,YouGov/The Sun,1757,31%,44%,7%,9%,3%,6%,13%,2012
15–17 May,Opinium,1957,30%,41%,9%,10%,3%,7%,11%,2012
15–16 May,YouGov/The Sun,1751,31%,45%,9%,8%,2%,5%,14%,2012
14–15 May,YouGov/The Sun,1692,32%,43%,8%,9%,3%,5%,11%,2012
13–14 May,YouGov/The Sun,1720,31%,45%,7%,8%,3%,5%,14%,2012
12–14 May,Ipsos MORI/Evening Standard,1006,33%,43%,9%,6%,3%,7%,10%,2012
10–11 May,YouGov/The Sunday Times,1663,31%,43%,10%,8%,2%,7%,12%,2012
9–10 May,YouGov/The Sun,1825,34%,44%,7%,7%,3%,5%,10%,2012
8–9 May,YouGov/The Sun,1708,31%,44%,9%,8%,3%,6%,13%,2012
7–8 May,YouGov/The Sun,1658,31%,44%,8%,8%,3%,6%,13%,2012
5–7 May,TNS-BMRB,1207,30%,43%,10%,4%,,13%,13%,2012
3–4 May,YouGov/The Sunday Times,1798,31%,43%,9%,8%,3%,6%,12%,2012
3 May,2012 United Kingdom local elections.,2012 United Kingdom local elections.,2012 United Kingdom local elections.,2012 United Kingdom local elections.,2012 United Kingdom local elections.,2012 United Kingdom local elections.,2012 United Kingdom local elections.,2012 United Kingdom local elections.,2012 United Kingdom local elections.,2012
2–3 May,YouGov/The Sun,1745,32%,41%,9%,9%,4%,5%,9%,2012
1–2 May,YouGov/The Sun,1749,33%,43%,8%,8%,3%,5%,10%,2012
30 Apr–1 May,YouGov/The Sun,1744,32%,41%,9%,8%,4%,6%,9%,2012
29–30 Apr,YouGov/The Sun,1763,35%,42%,8%,7%,2%,6%,7%,2012
27–30 Apr,Opinium,1769,32%,39%,8%,10%,4%,7%,7%,2012
26–27 Apr,YouGov/The Sunday Times,1717,29%,40%,11%,10%,3%,7%,11%,2012
25–27 Apr,ComRes/The Independent,2048,34%,39%,10%,9%,2%,6%,5%,2012
25–26 Apr,YouGov/The Sun,1717,31%,43%,9%,9%,2%,7%,12%,2012
24–25 Apr,YouGov/The Sun,1817,32%,43%,9%,8%,3%,5%,11%,2012
23–24 Apr,YouGov/The Sun,1787,32%,43%,8%,8%,3%,5%,11%,2012
22–23 Apr,YouGov/The Sun,1651,32%,45%,8%,7%,3%,5%,13%,2012
21–23 Apr,Ipsos MORI/Evening Standard,1002,35%,38%,12%,4%,4%,7%,3%,2012
20–23 Apr,Opinium,2233,31%,38%,11%,8%,4%,8%,7%,2012
20–22 Apr,ICM/The Guardian[2],1000,33%,41%,15%,3%,2%,7%,8%,2012
19–20 Apr,YouGov/The Sunday Times,1715,33%,41%,11%,8%,2%,5%,8%,2012
18–19 Apr,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2048,34%,40%,11%,6%,3%,5%,6%,2012
18–19 Apr,YouGov/The Sun,1722,32%,45%,8%,7%,3%,6%,13%,2012
17–18 Apr,YouGov/The Sun,1745,32%,41%,10%,8%,2%,6%,9%,2012
16–17 Apr,YouGov/The Sun,1799,32%,41%,8%,9%,3%,7%,9%,2012
15–16 Apr,YouGov/The Sun,1783,32%,43%,8%,9%,2%,6%,11%,2012
13–16 Apr,Opinium,1957,32%,37%,9%,10%,4%,8%,5%,2012
13–15 Apr,Populus/The Times[3],1003,33%,42%,11%,4%,3%,9%,9%,2012
12–13 Apr,Angus Reid Public Opinion[permanent dead link],2010,29%,41%,11%,8%,3%,8%,12%,2012
12–13 Apr,YouGov/The Sunday Times,1650,33%,39%,10%,7%,2%,8%,6%,2012
11–12 Apr,YouGov/The Sun,1686,35%,41%,9%,7%,3%,6%,6%,2012
11 Apr,TNS-BMRB,TBC,32%,42%,10%,9%,7%,7%,10%,2012
10–11 Apr,YouGov/The Sun,1727,35%,41%,8%,6%,3%,7%,6%,2012
9–10 Apr,YouGov/The Sun,1661,36%,40%,9%,6%,2%,7%,4%,2012
4–5 Apr,YouGov/The Sun,1744,33%,42%,8%,7%,3%,7%,9%,2012
3–4 Apr,YouGov/The Sun,1742,32%,42%,9%,8%,3%,6%,10%,2012
2–3 Apr,YouGov/The Sun,1744,34%,42%,8%,6%,2%,7%,8%,2012
1–2 Apr,YouGov/The Sun,1732,33%,43%,8%,6%,3%,7%,10%,2012
30–31 Mar,YouGov/The Sunday Times,1567,33%,42%,8%,7%,3%,7%,9%,2012
29 Mar,2012 Bradford West by-election.,2012 Bradford West by-election.,2012 Bradford West by-election.,2012 Bradford West by-election.,2012 Bradford West by-election.,2012 Bradford West by-election.,2012 Bradford West by-election.,2012 Bradford West by-election.,2012 Bradford West by-election.,2012
28–29 Mar,YouGov/The Sun,1701,34%,44%,8%,5%,2%,7%,10%,2012
27–28 Mar,YouGov/The Sun,1807,34%,44%,10%,6%,2%,5%,10%,2012
26–27 Mar,YouGov/The Sun,1682,33%,43%,9%,7%,2%,6%,10%,2012
25–26 Mar,YouGov/The Sun,1734,35%,42%,9%,6%,3%,5%,7%,2012
23–26 Mar,ComRes/The Independent[permanent dead link],1010,33%,43%,11%,3%,,10%,10%,2012
23–25 Mar,Populus/The Times[3],1500,34%,38%,11%,4%,5%,8%,4%,2012
22–23 Mar,YouGov/The Sunday Times,1721,35%,42%,10%,6%,2%,6%,7%,2012
22–23 Mar,ICM/Sunday Telegraph[2],1000,37%,38%,13%,4%,5%,4%,1%,2012
21–23 Mar,Opinium,1957,34%,39%,8%,9%,3%,7%,5%,2012
21–22 Mar,YouGov/The Sun,1835,34%,42%,9%,6%,2%,6%,8%,2012
20–21 Mar,YouGov/The Sun,1757,36%,41%,10%,5%,2%,6%,5%,2012
19–20 Mar,YouGov/The Sun,1748,35%,43%,9%,4%,2%,5%,8%,2012
18–19 Mar,YouGov/The Sun,1685,36%,42%,9%,5%,2%,6%,6%,2012
17–19 Mar,Ipsos MORI/Evening Standard,1014,35%,38%,12%,3%,5%,7%,3%,2012
16–18 Mar,ICM/The Guardian[2],1000,39%,36%,15%,1%,2%,7%,2%,2012
15–16 Mar,YouGov/The Sunday Times,1727,38%,40%,9%,5%,3%,6%,2%,2012
14–15 Mar,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2010,37%,40%,10%,6%,3%,4%,3%,2012
14–15 Mar,YouGov/The Sun,1741,37%,42%,8%,5%,3%,5%,5%,2012
13–14 Mar,YouGov/The Sun,1738,38%,41%,9%,5%,3%,4%,3%,2012
12–13 Mar,YouGov/The Sun,1747,36%,43%,9%,5%,2%,5%,7%,2012
11–12 Mar,YouGov/The Sun,1801,36%,41%,9%,6%,2%,6%,5%,2012
9–12 Mar,Opinium,1955,38%,36%,10%,7%,3%,6%,2%,2012
8–9 Mar,YouGov/The Sunday Times,1707,37%,42%,9%,5%,2%,5%,5%,2012
7–8 Mar,YouGov/The Sun,1730,37%,42%,8%,4%,3%,5%,5%,2012
6–7 Mar,Angus Reid Public Opinion,2018,32%,40%,10%,7%,2%,9%,8%,2012
6–7 Mar,YouGov/The Sun,1723,38%,41%,9%,6%,2%,4%,3%,2012
5–6 Mar,YouGov/The Sun,1736,37%,41%,9%,6%,3%,4%,4%,2012
4–5 Mar,YouGov/The Sun,1729,36%,41%,11%,5%,3%,5%,5%,2012
2–5 Mar,TNS-BMRB[permanent dead link],1198,35%,38%,11%,8%,8%,8%,3%,2012
1–2 Mar,YouGov/The Sunday Times,1664,40%,39%,9%,5%,2%,5%,1%,2012
29 Feb–1 Mar,YouGov/The Sun,1787,39%,39%,8%,5%,3%,6%,Tie,2012
28–29 Feb,YouGov/The Sun,1778,38%,40%,9%,5%,2%,6%,2%,2012
27–28 Feb,YouGov/The Sun,1729,40%,39%,9%,5%,2%,5%,1%,2012
26–27 Feb,YouGov/The Sun,1741,38%,40%,9%,6%,2%,5%,2%,2012
25–27 Feb,Ipsos MORI/Reuters,1002,35%,41%,12%,2%,4%,6%,6%,2012
24–26 Feb,ComRes/The Independent[permanent dead link],1001,37%,40%,13%,3%,3%,4%,3%,2012
