dates,pollster_client,sample_size,conservative,labour,united_kingdom_independence_party,liberal_democrat,scottish_national_party,green,others,lead,year
12–13 May,Survation/Good Morning Britain,1016,48%,30%,4%,8%,4%,2%,4%,18%,2017
11–12 May,YouGov/Sunday Times,1630,49%,31%,3%,9%,5%[b],2%,1%,18%,2017
10–12 May,"ComRes/Sunday Mirror, Independent on Sunday",2007,48%,30%,5%,10%,4%,3%,1%,18%,2017
9–12 May,Opinium/Observer,2003,47%,32%,5%,8%,5%,2%,1%,15%,2017
10–11 May,ORB/Sunday Telegraph,1508,46%,32%,6%,8%,5%,4%,4%,14%,2017
9–10 May,YouGov/The Times,1651,46%,30%,5%,11%,6%[b],2%,1%,16%,2017
5–9 May,Panelbase,1027,48%,31%,5%,8%,4%,2%,2%,17%,2017
4–8 May,Kantar Public,1201,44%,28%,8%,11%,4%,5%,1%,16%,2017
5–7 May,ICM/The Guardian,2038,49%,27%,6%,9%,4%,3%,1%,22%,2017
5–6 May,Survation/Good Morning Britain,1005,47%,30%,4%,7%,5%,3%,3%,17%,2017
4–5 May,YouGov/Sunday Times,1644,47%,28%,6%,11%,5%[b],2%,1%,19%,2017
3–5 May,ICM/Sun on Sunday,2020,46%,28%,8%,10%,4%,4%,*,18%,2017
4 May,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,United Kingdom local and mayoral elections,2017
3–4 May,ORB/Sunday Telegraph,1550,46%,31%,8%,9%,3%,3%,3%,15%,2017
2–3 May,Opinium/Observer,2005,46%,30%,7%,9%,4%,2%,1%,16%,2017
2–3 May,YouGov/The Times,2066,48%,29%,5%,10%,5%[b],2%,1%,19%,2017
28 Apr–2 May,Panelbase,1034,47%,30%,5%,10%,5%,2%,1%,17%,2017
28 Apr–2 May,ICM/The Guardian,1970,47%,28%,8%,8%,3%,4%,1%,19%,2017
28 Apr–1 May,Qriously,1240,44%,28%,8%,9%,3%,4%,4%,15%,2017
27 Apr–2 May,Kantar Public,1205,48%,24%,7%,11%,4%,4%,2%,24%,2017
27–28 Apr,YouGov/Sunday Times,1612,44%,31%,6%,11%,4%[b],2%,2%,13%,2017
26–28 Apr,ICM/Sun on Sunday,2012,47%,28%,8%,9%,4%,4%,*,19%,2017
25–28 Apr,Opinium/Observer,2007,47%,30%,7%,8%,5%,3%,1%,17%,2017
26–27 Apr,ORB/Sunday Telegraph,2093,42%,31%,8%,10%,4%,4%,4%,11%,2017
25–26 Apr,YouGov/The Times,1590,45%,29%,7%,10%,5%[b],3%,1%,16%,2017
21–25 Apr,Ipsos MORI/Evening Standard[permanent dead link],1004,49%,26%,4%,13%,4%,1%,4%,23%,2017
21–24 Apr,ICM/The Guardian,2024,48%,27%,7%,10%,4%,3%,1%,21%,2017
20–24 Apr,Panelbase,1026,49%,27%,5%,10%,5%,3%,1%,22%,2017
20–24 Apr,Kantar Public,1196,46%,24%,8%,11%,5%,4%,1%,22%,2017
Pre-23 Apr,Norstat/Sunday Express,1036,42%,26%,8%,10%,*,6%,8%,16%,2017
21–22 Apr,Survation/Mail on Sunday,2072,40%,29%,11%,11%,4%,2%,3%,11%,2017
20–21 Apr,YouGov/Sunday Times,1590,48%,25%,5%,12%,6%[b],3%,1%,23%,2017
19–21 Apr,ICM/ITV,2027,48%,26%,8%,10%,4%,3%,2%,22%,2017
19–20 Apr,ORB/Daily Telegraph,1860,44%,29%,10%,8%,5%,4%,4%,15%,2017
19–20 Apr,ComRes/Sunday Mirror,2074,50%,25%,7%,11%,4%,3%,1%,25%,2017
19–20 Apr,Opinium/Observer,2003,45%,26%,9%,11%,4%,3%,1%,19%,2017
2–20 Apr,YouGov,12746,44%,25%,9%,12%,6%[b],3%,1%,19%,2017
18–19 Apr,YouGov/The Times,1727,48%,24%,7%,12%,6%[b],2%,1%,24%,2017
18 Apr,ICM/The Guardian,1000,46%,25%,8%,11%,4%,4%,1%,21%,2017
18 Apr,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,Prime Minister Theresa May announces her intention to seek a general election to be held on 8 June 2017,2017
14–17 Apr,ICM/The Guardian,2052,44%,26%,11%,10%,4%,4%,1%,18%,2017
12–13 Apr,YouGov/The Times,2069,44%,23%,10%,12%,6%[b],4%,1%,21%,2017
11–13 Apr,"ComRes/Sunday Mirror, Independent on Sunday",2026,46%,25%,9%,11%,4%,4%,2%,21%,2017
11–13 Apr,Opinium/Observer,2002,38%,29%,14%,7%,5%,5%,1%,9%,2017
5–6 Apr,YouGov/The Times,1651,42%,25%,11%,11%,8%[b],3%,1%,17%,2017
31 Mar–2 Apr,ICM/The Guardian,2005,43%,25%,11%,11%,5%,4%,2%,18%,2017
26–27 Mar,YouGov/The Times,1957,43%,25%,10%,11%,6%[b],3%,1%,18%,2017
20–21 Mar,YouGov/The Times,1627,41%,25%,12%,11%,6%[b],3%,2%,16%,2017
17–19 Mar,ICM/The Guardian,2012,45%,26%,10%,9%,4%,4%,1%,19%,2017
15–17 Mar,"ComRes/Sunday Mirror, Independent on Sunday",2026,42%,25%,10%,12%,5%,4%,2%,17%,2017
14–17 Mar,Opinium/Observer,2007,41%,28%,13%,8%,6%,3%,1%,13%,2017
1–15 Mar,GfK,1938,41%,28%,12%,7%,5%,6%,1%,13%,2017
13–14 Mar,YouGov/The Times,1631,44%,27%,9%,10%,5%[b],4%,0%,17%,2017
10–14 Mar,Ipsos MORI[permanent dead link],1032,43%,30%,6%,13%,4%,4%,*,13%,2017
8–9 Mar,YouGov/The Times,1598,44%,25%,11%,10%,6%[b],3%,1%,19%,2017
3–5 Mar,ICM/The Guardian,1787,44%,28%,11%,8%,4%,5%,1%,16%,2017
27–28 Feb,YouGov/The Times,1666,42%,25%,12%,11%,6%[b],4%,1%,17%,2017
23 Feb,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,By-elections in Stoke-on-Trent Central and Copeland,2017
21–22 Feb,YouGov/The Times,2060,41%,25%,13%,11%,6%[b],3%,1%,16%,2017
17–19 Feb,ICM/The Guardian,2028,44%,26%,13%,8%,4%,4%,1%,18%,2017
14–16 Feb,Opinium/Observer,2004,40%,27%,14%,8%,5%,4%,2%,13%,2017
10–14 Feb,Ipsos MORI/Evening Standard,1014,40%,29%,9%,13%,5%,4%,0%,11%,2017
12–13 Feb,YouGov/The Times,2052,40%,24%,15%,11%,6%[b],4%,2%,16%,2017
8–10 Feb,"ComRes/Sunday Mirror, Independent on Sunday",1218,41%,26%,11%,11%,5%,4%,2%,15%,2017
5–6 Feb,YouGov/The Times,1984,40%,24%,14%,11%,6%[b],4%,1%,16%,2017
3–5 Feb,ICM/The Guardian,1984,42%,27%,12%,10%,5%,4%,1%,15%,2017
31 Jan–1 Feb,Opinium/Observer,2005,37%,30%,14%,8%,5%,5%,2%,7%,2017
30–31 Jan,YouGov/The Times,1705,40%,26%,12%,11%,6%[b],4%,1%,14%,2017
23–24 Jan,YouGov/The Times,1643,40%,24%,14%,10%,6%[b],3%,0%,16%,2017
20–22 Jan,ICM/The Guardian,2052,42%,26%,13%,10%,4%,5%,1%,16%,2017
17–18 Jan,YouGov/The Times,1654,42%,25%,12%,11%,6%[b],3%,0%,17%,2017
13–16 Jan,Ipsos MORI,1132,43%,31%,6%,11%,4%,4%,*,12%,2017
13 Jan,Survation/Mail on Sunday,1177,38%,29%,13%,10%,4%,2%,4%,9%,2017
10–12 Jan,Opinium/Observer,2007,38%,30%,14%,7%,5%,4%,2%,8%,2017
9–10 Jan,YouGov/The Times,1660,39%,28%,13%,11%,6%[b],3%,1%,11%,2017
6–8 Jan,ICM/The Guardian,2000,42%,28%,12%,9%,4%,4%,*,14%,2017
3–4 Jan,YouGov/The Times,1740,39%,26%,14%,10%,6%[b],4%,1%,13%,2017
18–19 Dec,YouGov/The Times,1595,39%,24%,14%,12%,6%[b],4%,1%,15%,2016
13–16 Dec,Opinium/Observer,2000,38%,31%,13%,6%,6%,4%,1%,7%,2016
9–12 Dec,Ipsos MORI[permanent dead link],1003,40%,29%,9%,14%,4%,3%,1%,11%,2016
9–11 Dec,ICM/The Guardian,2049,41%,27%,14%,9%,4%,3%,1%,14%,2016
8 Dec,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,Sleaford and North Hykeham by-election,2016
4–5 Dec,YouGov/The Times,1667,42%,25%,12%,11%,6%[b],4%,1%,17%,2016
1 Dec,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,Richmond Park by-election,2016
28–29 Nov,YouGov/The Times,1624,39%,27%,14%,9%,6%[b],4%,1%,12%,2016
28 Nov,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,Paul Nuttall is elected as the leader of UKIP,2016
25–27 Nov,ICM/The Guardian,2009,44%,28%,12%,7%,4%,4%,2%,16%,2016
21–22 Nov,YouGov/The Times,1693,41%,28%,12%,9%,6%[b],4%,0%,13%,2016
18–20 Nov,ICM/The Guardian,2031,42%,28%,11%,9%,4%,3%,2%,14%,2016
15–18 Nov,Opinium,2005,41%,29%,12%,7%,6%,3%,1%,12%,2016
14–15 Nov,YouGov/The Times,1717,42%,28%,11%,8%,7%[b],4%,1%,14%,2016
11–14 Nov,Ipsos MORI[permanent dead link],1013,42%,33%,7%,10%,5%[b],3%,1%,9%,2016
1–4 Nov,Opinium,2001,40%,32%,13%,6%,6%,4%,–,8%,2016
31 Oct–1 Nov,YouGov/The Times,1608,41%,27%,11%,10%,6%[b],4%,1%,14%,2016
28–30 Oct,ICM/The Guardian,2040,43%,27%,12%,8%,4%,5%,1%,16%,2016
24–25 Oct,YouGov/The Times,1655,40%,27%,11%,11%,7%[b],3%,1%,13%,2016
19–24 Oct,BMG,1546,42%,28%,12%,8%,5%,4%,1%,14%,2016
20 Oct,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,By-elections in Witney and Batley & Spen,2016
19–20 Oct,YouGov/Election Data,1608,42%,26%,12%,8%,6%[b],5%,1%,16%,2016
14–17 Oct,Ipsos MORI[permanent dead link],1016,47%,29%,6%,7%,6%[b],4%,1%,18%,2016
11–12 Oct,YouGov/The Times,1669,42%,28%,11%,9%,6%[b],3%,0%,14%,2016
7–9 Oct,ICM/The Guardian,2017,43%,26%,11%,8%,4%,6%,2%,17%,2016
28–29 Sep,YouGov/The Times,1658,39%,30%,13%,8%,6%[b],3%,0%,9%,2016
24 Sep,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,Jeremy Corbyn is re-elected as the Leader of the Labour Party and Leader of the Opposition,2016
21–23 Sep,ICM/Sun on Sunday,2015,41%,26%,14%,8%,5%,4%,2%,15%,2016
20–23 Sep,BMG,2026,39%,28%,13%,8%,5%,5%,2%,11%,2016
19–21 Sep,YouGov/The Times,3285,39%,30%,13%,8%,6%[b],3%,1%,9%,2016
16 Sep,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,Diane James is elected the leader of UKIP,2016
13–14 Sep,YouGov/The Times,1732,38%,31%,13%,7%,6%,4%,–,7%,2016
10–14 Sep,Ipsos MORI/Evening Standard[permanent dead link],1000,40%,34%,9%,6%,4%[b],5%,1%,6%,2016
9–11 Sep,ICM/The Guardian,2013,41%,27%,14%,8%,5%,4%,2%,14%,2016
4–5 Sep,YouGov/The Times,1616,40%,29%,13%,7%,7%[b],3%,–,11%,2016
2 Sep,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,Caroline Lucas and Jonathan Bartley are elected joint leaders of the Green Party,2016
30–31 Aug,YouGov/The Times,1687,38%,30%,14%,7%,6%[b],4%,–,8%,2016
26–28 Aug,ICM/The Guardian,2040,41%,27%,13%,9%,4%,4%,2%,14%,2016
22–23 Aug,YouGov/The Times,1660,40%,29%,13%,8%,6%[b],3%,1%,11%,2016
11–22 Aug,Lord Ashcroft Polls,8011,40%,31%,13%,7%,5%,3%,1%,9%,2016
16–17 Aug,YouGov/The Times,1677,38%,30%,13%,9%,7%[b],4%,–,8%,2016
13–15 Aug,Ipsos MORI/Evening Standard[permanent dead link],1017,45%,34%,6%,7%,4%,4%,1%,11%,2016
12–15 Aug,ICM,2010,40%,28%,14%,8%,4%,4%,2%,12%,2016
8–9 Aug,YouGov/The Times,1692,38%,31%,13%,8%,7%[b],4%,–,7%,2016
5–8 Aug,TNS[permanent dead link],1199,39%,26%,11%,10%,4%,7%,2%,13%,2016
1–2 Aug,YouGov/The Times,1722,42%,28%,12%,8%,6%[b],3%,1%,14%,2016
25–26 Jul,YouGov/The Times,1680,40%,28%,13%,8%,7%[b],4%,1%,12%,2016
22–24 Jul,ICM,2012,43%,27%,13%,8%,4%,4%,1%,16%,2016
19–22 Jul,Opinium/Observer,2231,37%,31%,15%,6%,6%,4%,1%,6%,2016
17–18 Jul,YouGov,1891,40%,29%,12%,9%,7%[b],3%,1%,11%,2016
13–15 Jul,ICM,2027,39%,29%,14%,9%,4%,4%,2%,10%,2016
13 Jul,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,Theresa May becomes the Prime Minister of the United Kingdom,2016
9–11 Jul,Ipsos MORI,1021,36%,35%,8%,11%,5%,4%,1%,1%,2016
8–10 Jul,ICM,2025,38%,30%,15%,8%,5%,4%,1%,8%,2016
4–5 Jul,Survation/Constitutional Research Council,1008,36%,32%,12%,9%,6%,–,7%,4%,2016
1–3 Jul,ICM,1979,37%,30%,15%,8%,5%,4%,2%,7%,2016
28–30 Jun,Opinium,2006,34%,29%,17%,7%,5%,4%,2%,5%,2016
24–26 Jun,ICM/The Guardian,2001,36%,32%,15%,7%,5%,5%,1%,4%,2016
24–25 Jun,Survation/Mail on Sunday,1033,32%,32%,16%,9%,4%,4%,2%,Tie,2016
23 Jun,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,UK European Union membership referendum: 52% of voters vote in favour of leaving EU; David Cameron announces he will resign as Prime Minister,2016
20–22 Jun,Opinium,3011,34%,30%,19%,6%,6%,4%,2%,4%,2016
14–17 Jun,Opinium/Observer,2006,34%,30%,18%,6%,6%,4%,1%,4%,2016
16 Jun,"Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June","Tooting by-election; killing of MP Jo Cox, leading to a suspension of referendum campaigning until 19 June",2016
15–16 Jun,"ComRes/Sunday Mirror, Independent on Sunday",2046,34%,29%,19%,8%,5%,4%,2%,5%,2016
11–14 Jun,Ipsos MORI/Evening Standard,1257,35%,34%,10%,9%,5%,4%,3%,1%,2016
10–13 Jun,ICM/The Guardian,2001,34%,30%,19%,8%,4%,4%,1%,4%,2016
10–13 Jun,ICM/The Guardian,1000,34%,33%,14%,9%,4%,5%,2%,1%,2016
7–10 Jun,Opinium/Observer,2009,35%,32%,18%,4%,5%,4%,1%,3%,2016
31 May–3 Jun,Opinium/Observer,2007,34%,30%,18%,6%,6%,4%,2%,4%,2016
27–29 May,ICM/The Guardian,2052,36%,31%,17%,7%,4%,4%,2%,5%,2016
27–29 May,ICM/The Guardian,1004,36%,32%,15%,7%,4%,3%,2%,4%,2016
17–19 May,Opinium/Observer,2008,35%,30%,18%,5%,6%,5%,2%,5%,2016
14–16 May,Ipsos MORI/Evening Standard,1002,36%,34%,10%,8%,5%,5%,2%,2%,2016
13–15 May,ICM/The Guardian,1002,36%,34%,13%,7%,4%,4%,2%,2%,2016
13–15 May,ICM/The Guardian,2048,34%,32%,17%,7%,5%,4%,1%,2%,2016
11–12 May,"ComRes/Sunday Mirror, Independent on Sunday",2043,36%,30%,17%,8%,5%,4%,–,6%,2016
5 May,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016 United Kingdom local elections including the Ogmore and Sheffield Brightside and Hillsborough by-elections,2016
26–29 Apr,Opinium/Observer,2005,38%,30%,15%,5%,5%,5%,2%,8%,2016
25–26 Apr,YouGov/The Times,1650,30%,33%,20%,6%,8%[b],3%,–,3%,2016
22–26 Apr,BMG Research,1375,33%,32%,18%,6%,5%,4%,2%,1%,2016
16–18 Apr,Ipsos MORI/Evening Standard,1026,38%,35%,11%,6%,6%,3%,1%,3%,2016
15–17 Apr,ICM/The Guardian,1003,38%,33%,13%,7%,5%,3%,1%,5%,2016
15–17 Apr,ICM/The Guardian,2008,36%,31%,16%,7%,4%,4%,2%,5%,2016
