dates,pollster,client,conservative,labour,alliance,lead,year,liberal
26 Jan,Gallup,The Daily Telegraph,44%,36%,19%,8%,1983,
17 Jan,MORI,,44%,31.5%,22.5%,12.5%,1983,
12 Jan,MORI,,44%,35%,20%,9%,1983,
15 Dec,Gallup,The Daily Telegraph,42%,35%,21%,7%,1982,
13 Dec,MORI,,41%,34.5%,22%,6.5%,1982,
2 Dec,Glasgow Queen's Park by-election,Glasgow Queen's Park by-election,Glasgow Queen's Park by-election,Glasgow Queen's Park by-election,Glasgow Queen's Park by-election,Glasgow Queen's Park by-election,1982,
24 Nov,Gallup,The Daily Telegraph,43%,35%,21%,8%,1982,
15 Nov,MORI,,42%,34.5%,21.5%,7.5%,1982,
10 Nov,MORI,,42%,33%,23%,9%,1982,
28 Oct,Birmingham Northfield and Peckham by-elections,Birmingham Northfield and Peckham by-elections,Birmingham Northfield and Peckham by-elections,Birmingham Northfield and Peckham by-elections,Birmingham Northfield and Peckham by-elections,Birmingham Northfield and Peckham by-elections,1982,
26 Oct,Gallup,The Daily Telegraph,43%,32%,23%,11%,1982,
25 Oct,MORI,,40.5%,29%,27%,11.5%,1982,
20 Oct,1982 Northern Ireland Assembly election[3],1982 Northern Ireland Assembly election[3],1982 Northern Ireland Assembly election[3],1982 Northern Ireland Assembly election[3],1982 Northern Ireland Assembly election[3],1982 Northern Ireland Assembly election[3],1982,
12 Oct,Gallup,The Daily Telegraph,42%,33%,23%,9%,1982,
16 Sep,Gower by-election,Gower by-election,Gower by-election,Gower by-election,Gower by-election,Gower by-election,1982,
13 Sep,MORI,,44%,30.5%,23%,13.5%,1982,
31 Aug,Gallup,The Daily Telegraph,42%,30%,27%,12%,1982,
16 Aug,MORI,,44.5%,26.5%,27.5%,17%,1982,
31 Jul,Gallup,The Daily Telegraph,44%,30%,23%,14%,1982,
12 Jul,MORI,,46.5%,27.5%,24%,19%,1982,
2 Jul,Roy Jenkins is elected leader of the Social Democratic Party[4],Roy Jenkins is elected leader of the Social Democratic Party[4],Roy Jenkins is elected leader of the Social Democratic Party[4],Roy Jenkins is elected leader of the Social Democratic Party[4],Roy Jenkins is elected leader of the Social Democratic Party[4],Roy Jenkins is elected leader of the Social Democratic Party[4],1982,
30 Jun,MORI,,45%,31%,22%,14%,1982,
24 Jun,Coatbridge and Airdrie by-election,Coatbridge and Airdrie by-election,Coatbridge and Airdrie by-election,Coatbridge and Airdrie by-election,Coatbridge and Airdrie by-election,Coatbridge and Airdrie by-election,1982,
23 Jun,Gallup,The Daily Telegraph,51%,24%,23%,27%,1982,
14 Jun,MORI,,45%,25%,28.5%,16.5%,1982,
14 Jun,The Falklands War ends[5],The Falklands War ends[5],The Falklands War ends[5],The Falklands War ends[5],The Falklands War ends[5],The Falklands War ends[5],1982,
3 Jun,Mitcham and Morden by-election,Mitcham and Morden by-election,Mitcham and Morden by-election,Mitcham and Morden by-election,Mitcham and Morden by-election,Mitcham and Morden by-election,1982,
31 May,MORI,,48%,28%,24%,20%,1982,
27 May,Beaconsfield by-election,Beaconsfield by-election,Beaconsfield by-election,Beaconsfield by-election,Beaconsfield by-election,Beaconsfield by-election,1982,
26 May,MORI,,51%,25%,23%,26%,1982,
23 May,Gallup,The Daily Telegraph,48%,31%,20%,17%,1982,
16 May,MORI,,41.5%,28%,29%,12.5%,1982,
16 May,MORI,,48%,33%,17%,15%,1982,
6 May,1982 United Kingdom local elections[6],1982 United Kingdom local elections[6],1982 United Kingdom local elections[6],1982 United Kingdom local elections[6],1982 United Kingdom local elections[6],1982 United Kingdom local elections[6],1982,
5 May,MORI,,38%,32%,28%,6%,1982,
30 Apr,MORI,,44%,30%,24%,14%,1982,
30 Apr,MORI,,43%,30%,25%,13%,1982,
24 Apr,MORI,,39%,32%,27%,7%,1982,
21 Apr,MORI,,36%,30%,31%,5%,1982,
14 Apr,Gallup,The Daily Telegraph,33%,34%,30%,1%,1982,
12 Apr,MORI,,31.5%,29%,37%,5.5%,1982,
2 Apr,The Falklands War begins[7],The Falklands War begins[7],The Falklands War begins[7],The Falklands War begins[7],The Falklands War begins[7],The Falklands War begins[7],1982,
31 Mar,Gallup,The Daily Telegraph,35%,30%,33%,2%,1982,
25 Mar,Glasgow Hillhead by-election,Glasgow Hillhead by-election,Glasgow Hillhead by-election,Glasgow Hillhead by-election,Glasgow Hillhead by-election,Glasgow Hillhead by-election,1982,
15 Mar,MORI,,31.5%,33%,33%,Tie,1982,
4 Mar,Belfast South by-election,Belfast South by-election,Belfast South by-election,Belfast South by-election,Belfast South by-election,Belfast South by-election,1982,
28 Feb,Gallup,The Daily Telegraph,34%,34%,30%,Tie,1982,
15 Feb,NOP,Daily Mail,27.5%,34%,36%,2%,1982,
5 Feb,MORI,,41%,36%,21%,5%,1982,
31 Jan,MORI,,30%,33%,34%,1%,1982,
25 Jan,Gallup,The Daily Telegraph,29%,30%,40%,10%,1982,
18 Jan,Gallup,The Daily Telegraph,27.5%,29.5%,39.5%,10%,1982,
14 Dec,MORI,,23%,23.5%,50.5%,27%,1981,
14 Dec,NOP,,27%,29%,43%,14%,1981,
3 Dec,MORI,,30.5%,34.3%,33.1%,1.2%,1981,
1 Dec,NOP,,27%,27%,44%,17%,1981,
1 Dec,Gallup,The Daily Telegraph,28.6%,32.1%,37.1%,5%,1981,
26 Nov,Crosby by-election,Crosby by-election,Crosby by-election,Crosby by-election,Crosby by-election,Crosby by-election,1981,
16 Nov,NOP,,26.5%,29%,42%,13%,1981,
6 Nov,MORI,,29.2%,38.2%,30.6%,7.6%,1981,
27 Oct,Gallup,The Daily Telegraph,27%,31%,40%,9%,1981,
26 Oct,NOP,,29.5%,28%,40%,12%,1981,
22 Oct,Croydon North West by-election,Croydon North West by-election,Croydon North West by-election,Croydon North West by-election,Croydon North West by-election,Croydon North West by-election,1981,
8 Oct,MORI,,32.1%,40.4%,24.7%,8.3%,1981,
28 Sep,MORI,,28%,42%,28%,14%,1981,
18 Sep,Gallup,The Daily Telegraph,27%,38%,33%,5%,1981,
14 Sep,NOP,,32%,36.5%,29%,7.5%,1981,
11 Sep,Gallup,The Daily Telegraph,33.5%,37.4%,27.7%,3.9%,1981,
20 Aug,Fermanagh & South Tyrone second by-election,Fermanagh & South Tyrone second by-election,Fermanagh & South Tyrone second by-election,Fermanagh & South Tyrone second by-election,Fermanagh & South Tyrone second by-election,Fermanagh & South Tyrone second by-election,1981,
17 Aug,NOP,,28%,38.5%,32.5%,6%,1981,
7 Aug,MORI,,31.6%,42.1%,24.3%,10.5%,1981,
31 Jul,Gallup,The Daily Telegraph,30%,39%,29%,9%,1981,
16 Jul,Warrington by-election,Warrington by-election,Warrington by-election,Warrington by-election,Warrington by-election,Warrington by-election,1981,
13 Jul,NOP,,30%,40.5%,26.5%,10.5%,1981,
9 Jul,MORI,,31.5%,41.2%,24.2%,9.7%,1981,
30 Jun,MORI,,30%,36%,31%,6%,1981,
22 Jun,MORI,,31%,39%,28%,8%,1981,
16 Jun,Gallup,The Daily Telegraph,37%,39%,22%,2%,1981,
15 Jun,NOP,,29.5%,37.5%,30.5%,8%,1981,
5 Jun,MORI,,37.7%,39.3%,20.8%,1.6%,1981,
30 May,Gallup,The Daily Telegraph,35%,39%,24%,4%,1981,
11 May,MORI,,32%,35.5%,29%,3.5%,1981,
11 May,NOP,,38%,41%,19%,3%,1981,
7–20 May,1981 United Kingdom local elections[8],1981 United Kingdom local elections[8],1981 United Kingdom local elections[8],1981 United Kingdom local elections[8],1981 United Kingdom local elections[8],1981 United Kingdom local elections[8],1981,
7 May,MORI,,30.9%,39.3%,26.6%,8.4%,1981,
27 Apr,Gallup,The Daily Telegraph,30%,38%,29%,8%,1981,
13 Apr,NOP,,30%,34.5%,33%,4.5%,1981,
9 Apr,Fermanagh & South Tyrone by-election,Fermanagh & South Tyrone by-election,Fermanagh & South Tyrone by-election,Fermanagh & South Tyrone by-election,Fermanagh & South Tyrone by-election,Fermanagh & South Tyrone by-election,1981,
3 Apr,MORI,,35.9%,42.1%,19.5%,6.2%,1981,
26 Mar,The Social Democratic Party is formed[9],The Social Democratic Party is formed[9],The Social Democratic Party is formed[9],The Social Democratic Party is formed[9],The Social Democratic Party is formed[9],The Social Democratic Party is formed[9],1981,
23 Mar,MORI,,33%,41%,25%,8%,1981,
23 Mar,Gallup,The Daily Telegraph,28%,38%,32%,10%,1981,
16 Mar,NOP,,30%,34%,32%,4%,1981,
2 Mar,NOP,,37%,41.1%,16.5%,4.1%,1981,
13 Feb,Gallup,The Daily Telegraph,34.5%,50.9%,12.2%,16.4%,1981,
11 Feb,MORI,,36%,35.5%,26.5%,0.5%,1981,
24 Jan,Gallup,The Daily Telegraph,35%,45%,17%,10%,1981,
19 Jan,NOP,,33%,46.5%,18.5%,13.5%,1981,
9 Jan,MORI,,35.4%,51.2%,11.9%,15.8%,1981,
19 Dec,Gallup,The Daily Telegraph,32%,56%,,24%,1980,11%
15 Dec,NOP,,35%,47.5%,,12.5%,1980,14.5%
4 Dec,Gallup,The Daily Telegraph,37.2%,47.7%,,10.5%,1980,12.6%
17 Nov,MORI,,36.5%,47%,,10.5%,1980,15%
11 Nov,NOP,,38%,47%,,9%,1980,13%
10 Nov,Michael Foot becomes leader of the Labour Party[10],Michael Foot becomes leader of the Labour Party[10],Michael Foot becomes leader of the Labour Party[10],Michael Foot becomes leader of the Labour Party[10],,Michael Foot becomes leader of the Labour Party[10],1980,Michael Foot becomes leader of the Labour Party[10]
7 Nov,MORI,,39.4%,46.5%,,7.1%,1980,12.4%
31 Oct,Gallup,The Daily Telegraph,36%,50%,,14%,1980,13%
20 Oct,Gallup,The Daily Telegraph,40%,43%,,3%,1980,13.5%
6 Oct,NOP,,40%,43%,,3%,1980,13.5%
2 Oct,MORI,,39.8%,47.6%,,7.8%,1980,11%
30 Sep,MORI,,34%,50%,,16%,1980,15%
29 Sep,Gallup,The Daily Telegraph,37%,46%,,9%,1980,15%
15 Sep,NOP,,35.5%,45%,,9.5%,1980,16.5%
5 Sep,Gallup,The Daily Telegraph,40%,46.3%,,6.3%,1980,11.3%
18 Aug,NOP,,38.5%,44%,,5.5%,1980,14.5%
1 Aug,MORI,,38.1%,47.3%,,9.2%,1980,11.7%
31 Jul,MORI,,37%,48%,,11%,1980,13%
27 Jul,Gallup,The Daily Telegraph,37%,47%,,10%,1980,13%
14 Jul,NOP,,40%,43.5%,,3.5%,1980,14%
3 Jul,MORI,,41%,46.9%,,5.9%,1980,10.4%
26 Jun,Glasgow Central by-election,Glasgow Central by-election,Glasgow Central by-election,Glasgow Central by-election,,Glasgow Central by-election,1980,Glasgow Central by-election
23 Jun,Gallup,The Daily Telegraph,41%,43%,,2%,1980,13%
16 Jun,NOP,,40.5%,45%,,4.5%,1980,11.5%
6 Jun,Gallup,The Daily Telegraph,43%,43.3%,,0.3%,1980,11.7%
19 May,NOP,,39%,43.5%,,4.5%,1980,15.5%
1 May,MORI,,41.4%,46.5%,,5.1%,1980,10.7%
1 May,1980 United Kingdom local elections[11],1980 United Kingdom local elections[11],1980 United Kingdom local elections[11],1980 United Kingdom local elections[11],,1980 United Kingdom local elections[11],1980,1980 United Kingdom local elections[11]
28 Apr,Gallup,The Daily Telegraph,39%,44%,,5%,1980,14%
14 Apr,NOP,,36.5%,45%,,8.5%,1980,15%
11 Apr,MORI,,35.5%,49.6%,,14.1%,1980,10.9%
28 Mar,Gallup,The Daily Telegraph,42%,46%,,4%,1980,9%
17 Mar,NOP,,37%,49.5%,,12.5%,1980,11.5%
13 Mar,Southend East by-election,Southend East by-election,Southend East by-election,Southend East by-election,,Southend East by-election,1980,Southend East by-election
5 Mar,MORI,,35.7%,51.9%,,16.2%,1980,11.2%
29 Feb,MORI,,38%,46%,,8%,1980,13%
25 Feb,Gallup,The Daily Telegraph,38%,46%,,8%,1980,14%
11 Feb,NOP,,37.5%,42%,,4.5%,1980,18%
8 Feb,MORI,,37.2%,50.3%,,13.1%,1980,10.7%
19 Jan,Gallup,The Daily Telegraph,39%,47%,,8%,1980,12%
14 Jan,NOP,,36%,45%,,9%,1980,16%
4 Jan,MORI,,40.1%,48.5%,,8.4%,1980,9.5%
31 Dec,Gallup,The Daily Telegraph,40%,43%,,3%,1979,14%
13 Dec,South West Hertfordshire by-election,South West Hertfordshire by-election,South West Hertfordshire by-election,South West Hertfordshire by-election,,South West Hertfordshire by-election,1979,South West Hertfordshire by-election
10 Dec,NOP,,38%,42%,,4%,1979,18%
6 Dec,MORI,,42.1%,46.3%,,4.2%,1979,10.1%
2 Dec,Gallup,The Daily Telegraph,40%,45%,,5%,1979,13%
12 Nov,NOP,,39%,43.5%,,4.5%,1979,15.5%
9 Nov,Gallup,The Daily Telegraph,40.9%,47.2%,,6.3%,1979,10%
15 Oct,NOP,,40.5%,45%,,4.5%,1979,12.5%
6 Oct,MORI,,44.9%,46%,,1.1%,1979,7.4%
30 Sep,Gallup,The Daily Telegraph,41%,46%,,5%,1979,11%
27 Sep,Manchester Central by-election,Manchester Central by-election,Manchester Central by-election,Manchester Central by-election,,Manchester Central by-election,1979,Manchester Central by-election
17 Sep,NOP,,40.5%,45%,,4.5%,1979,12%
2 Sep,MORI,,42.8%,47.3%,,4.5%,1979,8.6%
31 Aug,Gallup,The Daily Telegraph,42%,43%,,1%,1979,12%
13 Aug,NOP,,41.5%,44%,,2.5%,1979,12.5%
5 Aug,MORI,,43.1%,45.4%,,2.3%,1979,9.5%
31 Jul,Gallup,The Daily Telegraph,44%,45%,,1%,1979,9%
16 Jul,NOP,,41%,46%,,5%,1979,11.5%
7 Jul,Gallup,The Daily Telegraph,44.2%,45.5%,,1.3%,1979,8.2%
18 Jun,Gallup,The Daily Telegraph,42%,43.5%,,1.5%,1979,12%
7 Jun,1979 European Parliament election[12],1979 European Parliament election[12],1979 European Parliament election[12],1979 European Parliament election[12],,1979 European Parliament election[12],1979,1979 European Parliament election[12]
3 May,1979 United Kingdom local elections[13],1979 United Kingdom local elections[13],1979 United Kingdom local elections[13],1979 United Kingdom local elections[13],,1979 United Kingdom local elections[13],1979,1979 United Kingdom local elections[13]
3 May,1979 general election,1979 general election,43.9%,36.9%,,7%,1979,13.8%
