pollster_client,dates,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,plaid_cymru,green,brexit_party,united_kingdom_independence_party,change_uk,others,lead,year
Opinium/The Observer,23–25 Oct,GB,2001,40%,24%,15%,5%,0%,3%,10%,1%,0%,1%,16%,2019
YouGov/The Times,20–21 Oct,GB,1689,37%,22%,19%,3%,1%,7%,11%,1%,0%,0%,15%,2019
Deltapoll,18–21 Oct,GB,2017,37%,24%,19%,4%,1%,3%,11%,1%,0%,0%,13%,2019
Panelbase,17–18 Oct,GB,1008,36%,27%,17%,4%,0%,3%,11%,0%,0%,0%,9%,2019
Survation/Daily Mail,17–18 Oct,UK,1025,32%,24%,21%,4%,1%,2%,13%,0%,0%,4%,8%,2019
ComRes/Britain Elects,16–17 Oct,GB,2067,33%,29%,18%,4%,1%,4%,12%,0%,0%,0%,4%,2019
Opinium/The Observer Archived 12 November 2019 at the Wayback Machine,15–17 Oct,GB,2001,37%,24%,16%,4%,1%,4%,12%,2%,0%,1%,13%,2019
YouGov/The Times,14–15 Oct,GB,1625,37%,22%,18%,4%,1%,5%,11%,1%,0%,0%,15%,2019
Kantar,10–15 Oct,GB,1184,39%,25%,18%,3%,1%,3%,8%,1%,0%,1%,14%,2019
Panelbase/The Sunday Times,9–11 Oct,GB,2013,33%,30%,17%,4%,0%,3%,12%,0%,0%,0%,3%,2019
ComRes/Daily Express,9–10 Oct,GB,2018,33%,27%,18%,4%,0%,4%,12%,0%,0%,2%,6%,2019
YouGov/The Times,8–9 Oct,GB,1616,35%,22%,20%,4%,1%,6%,12%,0%,1%,0%,13%,2019
ICM Research/Represent Us,4–7 Oct,GB,2013,35%,29%,16%,3%,1%,4%,11%,1%,0%,1%,6%,2019
ComRes/The Daily Telegraph,4–6 Oct,GB,2006,33%,27%,19%,4%,1%,3%,13%,1%,0%,1%,6%,2019
Opinium/The Observer,3–4 Oct,GB,2006,38%,23%,15%,5%,0%,4%,12%,1%,0%,0%,15%,2019
BMG/The Independent,1–4 Oct,GB,1514,31%,26%,20%,3%,1%,7%,11%,0%,0%,0%,5%,2019
YouGov/The Times,30 Sep–1 Oct,GB,1623,34%,21%,23%,3%,1%,5%,12%,0%,0%,1%,11%,2019
YouGov/The Sunday Times,26–27 Sep,GB,1623,33%,22%,21%,4%,1%,5%,13%,0%,0%,1%,11%,2019
Opinium/The Observer Archived 29 September 2019 at the Wayback Machine,25–27 Sep,GB,2007,36%,24%,20%,5%,1%,2%,11%,0%,0%,1%,12%,2019
Survation/Daily Mail,25 Sep,UK,1011,27%,24%,22%,4%,0%,3%,16%,0%,0%,4%,3%,2019
YouGov/The Times,24–25 Sep,GB,1635,33%,22%,22%,3%,1%,6%,14%,0%,0%,0%,11%,2019
YouGov/People's Vote,19–20 Sep,GB,2006,30%,23%,22%,4%,0%,5%,14%,0%,0%,1%,7%,2019
Opinium/The Observer,19–20 Sep,GB,2004,37%,22%,17%,4%,1%,4%,12%,2%,0%,0%,15%,2019
ComRes/Britain Elects,18–19 Sep,GB,2050,29%,27%,20%,4%,0%,4%,13%,0%,1%,0%,2%,2019
YouGov/The Times,17–18 Sep,GB,1608,32%,21%,23%,4%,1%,4%,14%,1%,0%,2%,9%,2019
Ipsos MORI/Evening Standard,13–16 Sep,GB,1006,33%,24%,23%,4%,4%,4%,10%,0%,0%,1%,9%,2019
Opinium/The Observer,11–13 Sep,GB,2002,37%,25%,16%,4%,1%,2%,13%,1%,0%,0%,12%,2019
ComRes/Sunday Express,11–12 Sep,GB,2057,28%,27%,20%,4%,1%,5%,13%,1%,1%,0%,1%,2019
YouGov/The Times,9–10 Sep,GB,1676,32%,23%,19%,4%,0%,7%,14%,0%,0%,1%,9%,2019
Kantar Archived 7 November 2019 at the Wayback Machine,5–9 Sep,GB,1144,38%,24%,20%,4%,1%,3%,7%,1%,1%,1%,14%,2019
ComRes/The Daily Telegraph,6–8 Sep,GB,2016,30%,29%,17%,3%,1%,4%,13%,1%,0%,2%,1%,2019
Deltapoll/The Sun on Sunday,5–7 Sep,GB,2049,31%,28%,17%,5%,1%,4%,13%,1%,0%,0%,3%,2019
YouGov/The Sunday Times,5–6 Sep,GB,1676,35%,21%,19%,4%,0%,7%,12%,1%,0%,1%,14%,2019
Panelbase,5–6 Sep,GB,1013,31%,28%,19%,3%,0%,2%,15%,0%,0%,0%,3%,2019
Survation/Daily Mail,5–6 Sep,UK,1006,29%,24%,18%,4%,1%,3%,17%,0%,0%,5%,5%,2019
ComRes/Britain Elects,4–6 Sep,GB,2009,31%,27%,20%,3%,1%,3%,13%,1%,0%,1%,4%,2019
Opinium/The Observer,4–6 Sep,GB,2009,35%,25%,17%,5%,0%,3%,13%,1%,0%,1%,10%,2019
BMG/The Independent,3–6 Sep,GB,1504,31%,27%,19%,3%,0%,6%,13%,1%,0%,0%,4%,2019
Hanbury Strategy,3–4 Sep,GB,995,33%,26%,17%,4%,1%,3%,14%,0%,0%,2%,7%[b],2019
YouGov/The Times,2–3 Sep,GB,1639,35%,25%,16%,4%,1%,7%,11%,1%,0%,0%,10%,2019
ICM Research/Represent Us,30 Aug–3 Sep,GB,2041,37%,30%,16%,3%,1%,4%,9%,1%,0%,1%,7%,2019
Deltapoll/The Mail on Sunday,29–31 Aug,GB,2028,35%,24%,18%,4%,1%,4%,14%,0%,1%,0%,11%,2019
Survation/Daily Mail,29–30 Aug,UK,1020,31%,24%,21%,4%,1%,3%,14%,0%,0%,3%,7%,2019
YouGov,28–29 Aug,GB,1867,33%,22%,21%,4%,1%,7%,12%,0%,0%,1%,11%,2019
YouGov/The Times,27–28 Aug,GB,2006,34%,22%,17%,4%,1%,8%,13%,1%,0%,1%,12%,2019
YouGov/The Sunday Times,22–23 Aug,GB,2019,33%,21%,19%,4%,1%,7%,14%,0%,0%,1%,12%,2019
Opinium/The Observer,21–23 Aug,GB,2005,32%,26%,15%,5%,1%,4%,16%,1%,0%,1%,6%,2019
YouGov/The Times,20–21 Aug,GB,1687,32%,22%,20%,4%,1%,7%,12%,0%,0%,2%,10%,2019
Kantar Archived 21 August 2019 at the Wayback Machine,15–19 Aug,GB,1133,42%,28%,15%,5%,0%,3%,5%,0%,1%,1%,14%,2019
YouGov/The Times,13–14 Aug,GB,1625,30%,21%,20%,4%,1%,8%,14%,1%,0%,2%,9%,2019
BMG/The Independent,7–12 Aug,GB,1515,31%,25%,19%,3%,1%,6%,12%,1%,0%,2%,6%,2019
ComRes/The Daily Telegraph,9–11 Aug,GB,2011,31%,27%,16%,3%,0%,4%,16%,1%,0%,2%,4%,2019
Survation,6–11 Aug,UK,2040,28%,24%,21%,4%,0%,3%,15%,0%,0%,4%,4%,2019
,10 Aug,Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],Richard Braine becomes leader of UKIP[9],2019
Opinium/The Observer,8–9 Aug,GB,2003,31%,28%,13%,4%,1%,5%,16%,1%,0%,0%,3%,2019
YouGov/The Times,5–6 Aug,GB,1628,31%,22%,21%,4%,0%,7%,14%,0%,0%,1%,9%,2019
,1 Aug,Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],Brecon and Radnorshire by-election[10],2019
YouGov/The Times,29–30 Jul,GB,2066,32%,22%,19%,4%,1%,8%,13%,0%,0%,1%,10%,2019
Ipsos MORI,26–30 Jul,GB,1007,34%,24%,20%,4%,1%,6%,9%,1%,0%,1%,10%,2019
ComRes/Britain Elects,26–28 Jul,GB,2004,29%,30%,16%,3%,1%,5%,15%,1%,0%,2%,1%,2019
Deltapoll/The Mail on Sunday,25–27 Jul,GB,2001,30%,25%,18%,4%,1%,4%,14%,1%,2%,1%,5%,2019
YouGov/The Sunday Times,25–26 Jul,GB,1697,31%,21%,20%,5%,1%,8%,13%,0%,0%,1%,10%,2019
Opinium/The Observer,24–26 Jul,GB,2006,30%,28%,16%,5%,1%,5%,15%,1%,0%,1%,2%,2019
ComRes/Sunday Express,24–25 Jul,GB,2029,28%,27%,19%,3%,1%,4%,16%,1%,0%,0%,1%,2019
YouGov/The Times,23–24 Jul,GB,1715,25%,19%,23%,4%,1%,9%,17%,1%,0%,1%,2%,2019
,23 Jul,"Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day","Boris Johnson becomes leader of the Conservative Party, and Prime Minister the next day",2019
,22 Jul,Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],Jo Swinson becomes leader of the Liberal Democrats[11],2019
YouGov/The Times,16–17 Jul,GB,1749,25%,21%,20%,4%,1%,8%,19%,0%,0%,1%,4%,2019
ComRes/Britain Elects,15–16 Jul,GB,2038,25%,28%,17%,4%,0%,5%,19%,1%,1%,1%,3%,2019
ComRes/Sunday Express,10–11 Jul,GB,1791,24%,28%,15%,3%,1%,5%,20%,1%,1%,2%,4%,2019
Survation,10–11 Jul,GB,1012,23%,29%,19%,4%,1%,3%,20%,–,–,1%,6%,2019
YouGov/The Times,9–10 Jul,GB,1671,24%,20%,19%,5%,1%,9%,21%,0%,0%,1%,3%,2019
ComRes/The Daily Telegraph,5–7 Jul,GB,2010,25%,28%,16%,3%,0%,5%,19%,1%,0%,1%,3%,2019
Opinium/The Observer,3–5 Jul,GB,2002,23%,25%,15%,5%,1%,8%,22%,1%,1%,0%,2%,2019
BMG/The Independent,2–5 Jul,GB,1532,28%,27%,18%,2%,1%,6%,14%,2%,1%,0%,1%,2019
YouGov/The Times,2–3 Jul,GB,1605,24%,18%,20%,4%,1%,9%,23%,0%,0%,1%,1%,2019
YouGov/The Times,24–25 Jun,GB,2059,22%,20%,19%,4%,1%,10%,22%,1%,0%,1%,Tie,2019
Ipsos MORI,21–25 Jun,GB,1043,26%,24%,22%,4%,1%,8%,12%,1%,0%,0%,2%,2019
Opinium/The Observer,19–20 Jun,GB,2009,20%,26%,16%,4%,1%,6%,23%,2%,1%,1%,3%,2019
Survation/The Mail on Sunday,19–20 Jun,GB,2016,24%,26%,18%,3%,1%,6%,20%,1%,1%,1%,2%,2019
YouGov/The Times,18–19 Jun,GB,1641,20%,20%,21%,4%,1%,9%,23%,1%,0%,0%,2%,2019
YouGov/The Sunday Times,13–14 Jun,GB,1672,21%,21%,19%,3%,1%,9%,24%,0%,0%,1%,3%,2019
YouGov/The Times,9–10 Jun,GB,1702,17%,19%,22%,4%,1%,8%,26%,0%,1%,1%,4%,2019
ComRes/The Daily Telegraph,7–9 Jun,GB,2017,23%,27%,17%,3%,1%,5%,22%,1%,1%,1%,4%,2019
BMG/The Independent,4–7 Jun,GB,1520,26%,27%,17%,3%,1%,6%,18%,1%,1%,1%,1%,2019
,6 Jun,Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],Peterborough by-election[10],2019
YouGov/The Times,5–6 Jun,GB,1670,18%,20%,20%,5%,0%,9%,26%,1%,0%,0%,6%,2019
YouGov,4–5 Jun,GB,1663,18%,19%,22%,4%,0%,9%,25%,0%,–,3%,3%,2019
,4 Jun,Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],Anna Soubry becomes leader of Change UK after six of its MPs leave the party[12],2019
YouGov,31 May–1 Jun,GB,1644,18%,19%,23%,5%,0%,10%,23%,–,–,2%,Tie,2019
Deltapoll/The Mail on Sunday,29–30 May,GB,2449,20%,26%,16%,4%,1%,5%,24%,1%,4%,1%,2%,2019
Opinium/The Observer,28–30 May,GB,2005,17%,22%,16%,4%,1%,11%,26%,1%,1%,1%,4%,2019
YouGov/The Times,28–29 May,GB,1763,19%,19%,24%,6%,6%,8%,22%,1%,1%,0%,2%,2019
,23 May,European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],European Parliament election[13],2019
Survation/Daily Mail,22 May,UK,2029,28%,33%,13%,3%,0%,3%,12%,3%,2%,3%,5%,2019
Number Cruncher Politics,18–21 May,GB,1005,27%,31%,15%,5%,1%,4%,14%,1%,2%,0%,4%,2019
Panelbase/The Sunday Times,14–21 May,GB,2033,21%,31%,13%,4%,0%,5%,19%,3%,4%,0%,10%,2019
Opinium,17–20 May,GB,2005,22%,26%,12%,4%,1%,4%,25%,2%,2%,0%,4%,2019
Survation/Daily Mail,17 May,UK,1000,27%,32%,13%,5%,0%,3%,13%,2%,2%,4%,5%,2019
YouGov/Best for Britain/Hope Not Hate,8–17 May,GB,9260,24%,24%,18%,4%,1%,6%,18%,2%,2%,1%,Tie,2019
