dates,pollster,client,sample_size,labour,conservative,liberal_democrat,others,lead,year
30 Apr – 1 May,MORI,The Sun,1008,50%,32%,13%,5%,18%,2001
19–24 Apr,MORI,The Times,1935,50%,30%,13%,7%,20%,2001
20–22 Apr,ICM,The Guardian,1005,47%,33%,14%,6%,14%,2001
10–12 Apr,MORI,Daily Mail,1003,53%,29%,12%,6%,24%,2001
4–10 Apr,Gallup,The Daily Telegraph,1009,53%,27%,15%,5%,26%,2001
30 Mar – 4 Apr,NOP,Channel 4,1575,52%,30%,12%,6%,22%,2001
30–31 Mar,MORI,The Sunday Telegraph,1034,48%,32%,15%,5%,16%,2001
29–30 Mar,ICM,The Guardian,1000,49%,34%,13%,4%,15%,2001
22–27 Mar,MORI,The Times,1945,50%,31%,14%,5%,19%,2001
16–18 Mar,ICM,The Guardian,1426,44%,35%,16%,6%,9%,2001
15–16 Mar,NOP,The Sunday Times,1426,51%,31%,13%,5%,20%,2001
17 Feb – 13 Mar,Gallup,The Daily Telegraph,1016,55%,29%,12%,3%,26%,2001
15–20 Feb,MORI,The Times,1900,50%,30%,14%,5%,20%,2001
16–18 Feb,ICM,The Guardian,1000,47%,32%,15%,7%,15%,2001
31 Jan – 7 Feb,Gallup,The Daily Telegraph,1001,50%,29%,17%,4%,21%,2001
25–26 Jan,MORI,Mail on Sunday,1007,49%,31%,14%,6%,18%,2001
18–22 Jan,MORI,The Times,2083,50%,31%,14%,5%,19%,2001
19–21 Jan,ICM,The Guardian,1004,44%,34%,16%,6%,10%,2001
10–16 Jan,Gallup,The Daily Telegraph,1006,51%,31%,13%,6%,20%,2001
11–13 Jan,MORI,The Sunday Telegraph,1007,52%,31%,11%,6%,21%,2001
11–12 Jan,NOP,The Sunday Times,1232,48%,33%,14%,5%,15%,2001
4–6 Jan,MORI,Mail on Sunday,1005,46%,35%,14%,5%,11%,2001
13–15 Dec,MORI,News of the World,1003,47%,32%,16%,5%,15%,2000
6–13 Dec,Gallup,The Daily Telegraph,1011,47%,32%,14%,7%,15%,2000
7–12 Dec,MORI,The Times,1984,46%,34%,14%,6%,12%,2000
1–3 Dec,ICM,The Guardian,1003,44%,34%,16%,6%,10%,2000
23–28 Nov,MORI,The Times,1972,48%,33%,13%,6%,15%,2000
24–25 Nov,MORI,Mail on Sunday,1006,47%,34%,13%,6%,13%,2000
1–7 Nov,Gallup,The Daily Telegraph,1010,45%,34%,14%,6%,11%,2000
3–5 Nov,ICM,The Guardian,1001,40%,34%,20%,7%,6%,2000
2–3 Nov,MORI,Mail on Sunday,1002,42%,34%,17%,7%,8%,2000
19–23 Oct,MORI,The Times,2010,45%,32%,17%,6%,13%,2000
13–16 Oct,ICM,The Guardian,1001,40%,35%,19%,6%,5%,2000
11–13 Oct,NOP,The Sunday Times,1171,42%,35%,17%,6%,7%,2000
10 Oct,MORI,Carlton TV,1014,40%,38%,19%,3%,2%,2000
28–30 Sep,ICM,News of the World,1025,38%,37%,20%,6%,1%,2000
28–30 Sep,MORI,The Sun,1006,43%,36%,16%,5%,7%,2000
28–29 Sep,NOP,Sunday Express,1002,43%,37%,13%,7%,6%,2000
Sep,NOP,Labour Party,1000,?,?,?,?,11%,2000
21–26 Sep,MORI,The Times,1843,37%,35%,21%,7%,2%,2000
20–26 Sep,Gallup,The Daily Telegraph,1002,39%,36%,20%,5%,3%,2000
21–23 Sep,NOP,Channel 4,1002,32%,40%,22%,6%,8%,2000
21–22 Sep,MORI,Mail on Sunday,1014,35%,39%,21%,5%,4%,2000
14–19 Sep,MORI,Schroder Salomon Smith Barney,1864,36%,36%,21%,7%,Tie,2000
13–19 Sep,Gallup,The Daily Telegraph,1006,35%,40%,16%,9%,5%,2000
15–17 Sep,ICM,The Guardian,1055,34%,38%,22%,7%,4%,2000
14–16 Sep,NOP,The Sunday Times,1002,37%,37%,21%,5%,Tie,2000
14–15 Sep,MORI,News of the World,1006,36%,38%,18%,8%,2%,2000
6–12 Sep,Gallup,The Daily Telegraph,1006,45%,32%,16%,6%,13%,2000
6–12 Sep,MORI,,2004,45%,30%,17%,8%,15%,2000
7–14 Sep,The Fuel protests[6],The Fuel protests[6],The Fuel protests[6],The Fuel protests[6],The Fuel protests[6],The Fuel protests[6],The Fuel protests[6],The Fuel protests[6],2000
31 Aug – 6 Sep,MORI,,1818,48%,32%,13%,5%,16%,2000
17–21 Aug,MORI,The Times,1916,51%,29%,15%,5%,22%,2000
17–18 Aug,MORI,News of the World,1004,51%,32%,12%,5%,19%,2000
11–13 Aug,ICM,The Guardian,1050,44%,34%,17%,8%,10%,2000
2–7 Aug,Gallup,The Daily Telegraph,1005,47%,32%,14%,7%,15%,2000
20–24 Jul,MORI,The Times,2019,49%,33%,12%,6,16%,2000
20–22 Jul,MORI,Mail on Sunday,1011,51%,32%,11%,6%,19%,2000
14–15 Jul,ICM,The Guardian,1056,42%,35%,17%,6%,7%,2000
12–14 Jul,MORI,Mail on Sunday,1003,47%,32%,15%,6%,15%,2000
5–11 Jul,Gallup,The Daily Telegraph,1016,45%,35%,14%,7%,10%,2000
29–30 Jun,MORI,Mail on Sunday,1004,46%,32%,17%,5%,14%,2000
22–27 Jun,MORI,The Times,1915,47%,33%,13%,7%,14%,2000
23–26 Jun,ICM,The Guardian,1061,43%,32%,17%,8%,11%,2000
22–23 Jun,MORI,News of the World,1002,47%,34%,14%,5%,13%,2000
8–9 Jun,MORI,Mail on Sunday,1008,41%,38%,16%,5%,3%,2000
31 May – 6 Jun,Gallup,The Daily Telegraph,1007,49%,30%,15%,6%,19%,2000
18–23 May,MORI,The Times,1891,48%,32%,15%,5%,16%,2000
17–19 May,MORI,Daily Mail,1003,46%,33%,14%,7%,13%,2000
13–15 May,ICM,The Guardian,1003,41%,34%,18%,7%,7%,2000
3–9 May,Gallup,The Daily Telegraph,1009,47%,31%,14%,7%,16%,2000
6–7 May,ICM,Conservative Party,1000,43%,35%,15%,7%,8%,2000
5 May,2000 local elections[7],2000 local elections[7],2000 local elections[7],2000 local elections[7],2000 local elections[7],2000 local elections[7],2000 local elections[7],2000 local elections[7],2000
13–18 Apr,MORI,The Times,1860,51%,27%,15%,7%,24%,2000
14–15 Apr,ICM,The Guardian,1203,45%,32%,15%,8%,13%,2000
5–11 Apr,Gallup,The Daily Telegraph,1007,50%,32%,12%,6%,18%,2000
23–28 Mar,MORI,The Times,1728,50%,29%,14%,7%,21%,2000
17–19 Mar,ICM,The Guardian,1207,44%,32%,16%,8%,12%,2000
1–7 Mar,Gallup,The Daily Telegraph,1018,51%,31%,11%,6%,20%,2000
17–22 Feb,MORI,The Times,1938,50%,29%,15%,6%,21%,2000
11–13 Feb,ICM,The Guardian,1205,44%,29%,18%,9%,15%,2000
2–6 Feb,Gallup,The Daily Telegraph,1024,49%,28%,15%,8%,21%,2000
25–27 Jan,MORI,Daily Mail,1007,49%,29%,15%,7%,20%,2000
20–25 Jan,MORI,The Times,2015,50%,30%,15%,5%,20%,2000
14–17 Jan,ICM,The Guardian,1155,47%,30%,17%,6%,17%,2000
5–12 Jan,Gallup,The Daily Telegraph,1005,53%,30%,12%,5%,23%,2000
10–14 Dec,MORI,The Times,1967,54%,28%,13%,5%,26%,1999
10–12 Dec,ICM,The Guardian,1201,48%,29%,17%,6%,19%,1999
25 Nov – 1 Dec,Gallup,The Daily Telegraph,1011,53%,27%,15%,5%,26%,1999
19–22 Nov,MORI,The Times,1935,55%,25%,14%,6%,30%,1999
12–14 Nov,ICM,The Guardian,1119,44%,34%,15%,7%,10%,1999
8–10 Nov,MORI,Daily Mail,1003,50%,32%,12%,7%,18%,1999
27 Oct – 2 Nov,Gallup,The Daily Telegraph,1002,52%,28%,14%,6%,24%,1999
22–26 Oct,ICM,The Guardian,1084,45%,32%,17%,6%,13%,1999
22–25 Oct,MORI,The Times,1965,56%,28%,11%,5%,28%,1999
13–14 Oct,MORI,The Sun,1003,52%,31%,13%,7%,21%,1999
23–29 Sep,Gallup,The Daily Telegraph,1012,52%,29%,13%,7%,23%,1999
24–27 Sep,MORI,The Times,1823,52%,25%,17%,6%,27%,1999
17–19 Sep,ICM,The Guardian,1202,45%,32%,16%,6%,13%,1999
9–11 Sep,MORI,Mail on Sunday,1002,49%,32%,13%,6%,17%,1999
25 Aug – 1 Sep,Gallup,The Daily Telegraph,1000,52%,27%,13%,7%,25%,1999
20–23 Aug,MORI,The Times,1862,49%,27%,17%,7%,22%,1999
13–15 Aug,ICM,The Guardian,1204,48%,30%,16%,6%,18%,1999
9 Aug,Charles Kennedy is elected leader of the Liberal Democrats[8],Charles Kennedy is elected leader of the Liberal Democrats[8],Charles Kennedy is elected leader of the Liberal Democrats[8],Charles Kennedy is elected leader of the Liberal Democrats[8],Charles Kennedy is elected leader of the Liberal Democrats[8],Charles Kennedy is elected leader of the Liberal Democrats[8],Charles Kennedy is elected leader of the Liberal Democrats[8],Charles Kennedy is elected leader of the Liberal Democrats[8],1999
28 Jul – 4 Aug,Gallup,The Daily Telegraph,1008,51%,30%,12%,7%,21%,1999
23–26 Jul,MORI,The Times,213,51%,28%,14%,7%,23%,1999
9–11 Jul,ICM,The Guardian,1200,48%,31%,16%,5%,17%,1999
18–21 Jun,MORI,The Times,2028,51%,28%,13%,8%,23%,1999
4–5 Jun,ICM,The Guardian,1205,46%,29%,19%,7%,17%,1999
26 May – 1 Jun,Gallup,The Daily Telegraph,1000,52%,24%,16%,8%,28%,1999
21–24 May,MORI,The Times,2046,52%,28%,14%,6%,24%,1999
7–8 May,ICM,The Guardian,1205,51%,28%,16%,6%,23%,1999
6 May,"Scottish Parliament, Welsh Assembly and 1999 local elections[9][10][11]","Scottish Parliament, Welsh Assembly and 1999 local elections[9][10][11]","Scottish Parliament, Welsh Assembly and 1999 local elections[9][10][11]","Scottish Parliament, Welsh Assembly and 1999 local elections[9][10][11]","Scottish Parliament, Welsh Assembly and 1999 local elections[9][10][11]","Scottish Parliament, Welsh Assembly and 1999 local elections[9][10][11]","Scottish Parliament, Welsh Assembly and 1999 local elections[9][10][11]","Scottish Parliament, Welsh Assembly and 1999 local elections[9][10][11]",1999
30 Apr – 1 May,MORI,Mail on Sunday,1008,50%,30%,14%,6%,20%,1999
21–28 Apr,Gallup,The Daily Telegraph,1006,52%,29%,13%,7%,23%,1999
23–26 Apr,MORI,The Times,1966,56%,25%,13%,6%,31%,1999
16–17 Apr,ICM,The Guardian,1205,52%,29%,16%,4%,23%,1999
30 Mar – 7 Apr,Gallup,The Daily Telegraph,1014,54%,27%,13%,7%,27%,1999
19–22 Mar,MORI,The Times,1907,54%,27%,13%,6%,27%,1999
5–7 Mar,ICM,The Guardian,1217,52%,29%,16%,4%,23%,1999
26 Feb – 4 Mar,Gallup,The Daily Telegraph,1002,52%,30%,11%,6%,22%,1999
19–22 Feb,MORI,The Times,1907,51%,30%,14%,6%,21%,1999
5–7 Feb,ICM,The Guardian,1211,49%,28%,16%,6%,21%,1999
28 Jan – 3 Feb,Gallup,The Daily Telegraph,1069,53%,29%,13%,5%,24%,1999
22–25 Jan,MORI,The Times,1930,56%,24%,14%,6%,32%,1999
6–12 Jan,NOP,Evening Standard,1600,57%,25%,12%,6%,32%,1999
4–6 Jan,Gallup,The Daily Telegraph,1017,52%,29%,13%,5%,23%,1999
30 Dec – 3 Jan,ICM,The Guardian,1209,50%,30%,15%,5%,20%,1999
9–15 Dec,NOP,Evening Standard,1600,55%,27%,12%,7%,28%,1998
11–14 Dec,MORI,The Times,1864,54%,27%,12%,6%,27%,1998
4–7 Dec,ICM,The Guardian,1123,49%,29%,16%,6%,20%,1998
16 Nov – 2 Dec,Gallup,The Daily Telegraph,1021,55%,29%,11%,5%,26%,1998
20–23 Nov,MORI,The Times,1883,53%,29%,13%,5%,24%,1998
4–6 Nov,ICM,The Guardian,1210,51%,27%,17%,5%,24%,1998
29 Oct – 4 Nov,Gallup,The Daily Telegraph,1036,54%,28%,14%,5%,26%,1998
23–26 Oct,MORI,The Times,1775,53%,26%,16%,5%,27%,1998
1–4 Oct,ICM,The Guardian,1120,51%,29%,15%,5%,22%,1998
24–30 Sep,Gallup,The Daily Telegraph,1028,57%,23%,15%,5%,34%,1998
18–21 Sep,MORI,The Times,1789,56%,24%,15%,5%,32%,1998
4–6 Sep,ICM,The Guardian,1178,48%,29%,17%,6%,19%,1998
26 Aug – 3 Sep,Gallup,The Daily Telegraph,1005,54%,28%,12%,6%,26%,1998
21–24 Aug,MORI,The Times,1886,52%,28%,14%,6%,24%,1998
7–9 Aug,ICM,The Guardian,1203,47%,31%,17%,4%,16%,1998
30 Jul – 5 Aug,Gallup,The Daily Telegraph,1003,53%,28%,13%,5%,25%,1998
17–21 Jul,MORI,The Times,1796,53%,28%,14%,5%,25%,1998
3–4 Jul,ICM,The Guardian,1203,52%,27%,17%,4%,25%,1998
25 Jun – 1 Jul,Gallup,The Daily Telegraph,1006,52%,28%,14%,6%,24%,1998
25–30 Jun,MORI,The Times,1760,56%,27%,13%,4%,29%,1998
24–26 Jun,MORI,The Sun,1000,51%,28%,15%,6%,23%,1998
25 Jun,1998 Northern Ireland Assembly election[12],1998 Northern Ireland Assembly election[12],1998 Northern Ireland Assembly election[12],1998 Northern Ireland Assembly election[12],1998 Northern Ireland Assembly election[12],1998 Northern Ireland Assembly election[12],1998 Northern Ireland Assembly election[12],1998 Northern Ireland Assembly election[12],1998
5–6 Jun,ICM,The Guardian,1201,51%,29%,16%,4%,22%,1998
28 May – 3 Jun,Gallup,The Daily Telegraph,1011,54%,28%,12%,6%,26%,1998
21–24 May,MORI,The Times,1832,55%,26%,14%,5%,29%,1998
22 May,1998 Northern Ireland Good Friday Agreement referendum[13],1998 Northern Ireland Good Friday Agreement referendum[13],1998 Northern Ireland Good Friday Agreement referendum[13],1998 Northern Ireland Good Friday Agreement referendum[13],1998 Northern Ireland Good Friday Agreement referendum[13],1998 Northern Ireland Good Friday Agreement referendum[13],1998 Northern Ireland Good Friday Agreement referendum[13],1998 Northern Ireland Good Friday Agreement referendum[13],1998
15–19 May,ICM,The Guardian,1101,50%,29%,16%,5%,21%,1998
7 May,1998 local elections & Greater London Authority referendum[14],1998 local elections & Greater London Authority referendum[14],1998 local elections & Greater London Authority referendum[14],1998 local elections & Greater London Authority referendum[14],1998 local elections & Greater London Authority referendum[14],1998 local elections & Greater London Authority referendum[14],1998 local elections & Greater London Authority referendum[14],1998 local elections & Greater London Authority referendum[14],1998
23–29 Apr,Gallup,The Daily Telegraph,1050,54%,25%,16%,4%,29%,1998
24–27 Apr,MORI,The Times,1926,55%,27%,14%,4%,28%,1998
24–26 Apr,MORI,The Sun,804,54%,30%,13%,3%,24%,1998
20–22 Apr,ICM,The Observer,1000,52%,29%,16%,3%,23%,1998
3–5 Apr,ICM,The Guardian,1212,48%,31%,16%,6%,17%,1998
26 Mar – 1 Apr,Gallup,The Daily Telegraph,985,54%,26%,16%,4%,28%,1998
20–23 Mar,MORI,The Times,1879,53%,28%,14%,5%,25%,1998
6–8 Mar,ICM,The Guardian,1200,46%,33%,17%,5%,13%,1998
26 Feb – 4 Mar,Gallup,The Daily Telegraph,999,51%,29%,14%,6%,22%,1998
20–23 Feb,MORI,The Times,1792,52%,28%,15%,5%,24%,1998
6–8 Feb,ICM,The Guardian,1200,47%,31%,18%,4%,16%,1998
28 Jan – 4 Feb,Gallup,The Daily Telegraph,1041,54%,29%,11%,5%,25%,1998
23–26 Jan,MORI,The Times,1870,54%,28%,14%,4%,26%,1998
9–11 Jan,ICM,The Guardian,1200,48%,30%,17%,5%,18%,1998
5–7 Jan,Gallup,The Daily Telegraph,1014,56%,26%,12%,5%,30%,1998
12–15 Dec,MORI,The Times,2122,55%,26%,15%,4%,29%,1997
5–6 Dec,ICM,The Guardian,1200,50%,29%,17%,4%,21%,1997
27 Nov – 3 Dec,Gallup,The Daily Telegraph,1011,57%,21%,17%,5%,36%,1997
21–24 Nov,MORI,The Times,1879,56%,24%,16%,4%,32%,1997
13–14 Nov,MORI,The Sun,603,56%,30%,11%,3%,26%,1997
7–8 Nov,ICM,The Guardian,1200,52%,30%,14%,4%,22%,1997
30 Oct – 4 Nov,Gallup,The Daily Telegraph,1021,63%,23%,11%,4%,40%,1997
24–27 Oct,MORI,The Times,1772,60%,24%,12%,4%,36%,1997
6 Oct,ICM,The Guardian,1211,59%,23%,13%,4%,36%,1997
25 Sep – 1 Oct,Gallup,The Daily Telegraph,1014,60%,22%,14%,4%,38%,1997
26–29 Sep,MORI,The Times,1916,59%,25%,13%,3%,34%,1997
18 Sep,1997 Welsh devolution referendum[15],1997 Welsh devolution referendum[15],1997 Welsh devolution referendum[15],1997 Welsh devolution referendum[15],1997 Welsh devolution referendum[15],1997 Welsh devolution referendum[15],1997 Welsh devolution referendum[15],1997 Welsh devolution referendum[15],1997
11 Sep,1997 Scottish devolution referendum[16][17],1997 Scottish devolution referendum[16][17],1997 Scottish devolution referendum[16][17],1997 Scottish devolution referendum[16][17],1997 Scottish devolution referendum[16][17],1997 Scottish devolution referendum[16][17],1997 Scottish devolution referendum[16][17],1997 Scottish devolution referendum[16][17],1997
4–8 Sep,ICM,The Guardian,1206,60%,24%,10%,6%,36%,1997
27 Aug – 3 Sep,Gallup,The Daily Telegraph,1023,58%,26%,12%,5%,32%,1997
21–25 Aug,MORI,The Times,1758,54%,28%,15%,3%,26%,1997
31 Jul – 6 Aug,Gallup,The Daily Telegraph,1203,58%,25%,12%,4%,33%,1997
25–28 Jul,MORI,The Times,1901,57%,23%,15%,5%,34%,1997
27–28 Jun,ICM,The Guardian,1200,61%,23%,12%,4%,38%,1997
20–23 Jun,MORI,The Times,1852,58%,24%,15%,3%,34%,1997
19 Jun,William Hague is elected leader of the Conservative Party[18],William Hague is elected leader of the Conservative Party[18],William Hague is elected leader of the Conservative Party[18],William Hague is elected leader of the Conservative Party[18],William Hague is elected leader of the Conservative Party[18],William Hague is elected leader of the Conservative Party[18],William Hague is elected leader of the Conservative Party[18],William Hague is elected leader of the Conservative Party[18],1997
29 May – 4 Jun,Gallup,The Daily Telegraph,996,59%,23%,13%,5%,36%,1997
21 May,1997 Northern Ireland local elections[19],1997 Northern Ireland local elections[19],1997 Northern Ireland local elections[19],1997 Northern Ireland local elections[19],1997 Northern Ireland local elections[19],1997 Northern Ireland local elections[19],1997 Northern Ireland local elections[19],1997 Northern Ireland local elections[19],1997
1 May,1997 local elections[20],1997 local elections[20],1997 local elections[20],1997 local elections[20],1997 local elections[20],1997 local elections[20],1997 local elections[20],1997 local elections[20],1997
1 May,1997 general election[21],1997 general election[21],–,43.2%,30.7%,16.8%,9.3%,12.5%,1997
